"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"experiment"
"04/27/2018 19:43:37:811 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","[step]","total-wealth","sum [wealth] of turtles with [ who mod nn = 0 ]","sum [wealth] of turtles with [ who mod nn = 1 ]"
"3","50","0","0","0","0","0"
"2","50","0","0","0","0","0"
"8","50","0.05","0","0","0","0"
"6","50","0.05","0","0","0","0"
"1","50","0","0","0","0","0"
"4","50","0","0","0","0","0"
"3","50","0","1","75","13","27.85714285714286"
"6","50","0.05","1","73","13","25.857142857142858"
"8","50","0.05","1","113","13","52"
"6","50","0.05","2","188.14999999999995","26","64.64285714285714"
"3","50","0","2","108","26","30.85714285714286"
"6","50","0.05","3","256.05000000000007","36.9","82.87063492063491"
"3","50","0","3","254.99999999999997","48.07692307692308","84.31868131868133"
"5","50","0","0","0","0","0"
"3","50","0","4","365.00000000000006","69.50549450549451","124.6043956043956"
"6","50","0.05","4","355.65000000000003","60.75","104.65396825396827"
"8","50","0.05","2","226.9","26","96.45"
"6","50","0.05","5","458.20000000000016","96.49090909090908","131.07215007215007"
"3","50","0","5","430.00000000000017","85.65934065934067","139.83516483516485"
"8","50","0.05","3","334.7999999999999","46.900000000000006","138.95000000000002"
"6","50","0.05","6","561.8000000000002","110.80757575757576","168.9054834054834"
"4","50","0","1","153.00000000000003","13","82.46153846153848"
"3","50","0","6","540.0000000000002","107.96703296703296","166.2967032967033"
"6","50","0.05","7","701.3","142.07862838915472","201.98706235285184"
"8","50","0.05","4","442.70000000000005","61.03333333333333","189.6"
"4","50","0","2","183.99999999999997","26","86.46153846153847"
"3","50","0","7","684.0000000000001","142.10989010989013","202.82051282051282"
"6","50","0.05","8","849.8","154.7786283891547","261.9607997265892"
"8","50","0.05","5","464.3999999999999","67.83333333333334","194.10000000000002"
"6","50","0.05","9","1002.7499999999999","167.77862838915468","312.64016480595427"
"4","50","0","3","208","38","88.46153846153848"
"3","50","0","8","793","176.1098901098901","223.82051282051282"
"8","50","0.05","6","562.3499999999998","89.46111111111112","222.92222222222222"
"6","50","0.05","10","1106.4","186.786320696847","352.06324172903123"
"2","50","0","1","30","13","2"
"4","50","0","4","344.99999999999994","69.52941176470588","127.49095022624435"
"3","50","0","9","904.0000000000002","196.1098901098901","269.8205128205129"
"6","50","0.05","11","1248.5000000000002","206.35298736351365","390.0965750623645"
"8","50","0.05","7","658.95","104.05000000000003","263.0777777777778"
"4","50","0","5","493.9999999999999","96.83710407239818","177.10633484162898"
"6","50","0.05","12","1355.9","230.54844190896827","404.9693023350918"
"3","50","0","10","970.0000000000005","210.44322344322345","283.8205128205128"
"6","50","0.05","13","1460.4500000000003","253.68177524230157","442.85263566842514"
"8","50","0.05","8","798.7499999999998","121.90909090909092","311.77258297258294"
"4","50","0","6","561.9999999999999","112.28154851684263","202.32855706385118"
"3","50","0","11","1041.0000000000002","221.44322344322345","310.6386946386947"
"6","50","0.05","14","1520.95","265.66510857563486","458.5359690017584"
"2","50","0","2","102","26","30"
"8","50","0.05","9","942.15","145.57673796791445","359.19611238434766"
"3","50","0","12","1183.0000000000005","258.3919413919414","343.94638694638695"
"4","50","0","7","664.9999999999999","144.89693313222725","218.6362493715435"
"6","50","0.05","15","1624.6000000000004","293.51510857563494","483.18596900175856"
"2","50","0","3","253.00000000000009","49.44444444444444","98.77777777777777"
"3","50","0","13","1254.9999999999998","276.39194139194143","365.94638694638695"
"8","50","0.05","10","1013.8000000000002","158.42673796791445","384.9183346065699"
"4","50","0","8","730.0000000000001","161.0507792860734","237.02086475615886"
"6","50","0.05","16","1732.0500000000002","305.2151085756349","527.6359690017586"
"3","50","0","14","1283","286.39194139194143","369.94638694638695"
"8","50","0.05","11","1038.0000000000002","169.32673796791445","387.6683346065699"
"2","50","0","4","400.00000000000006","78.1111111111111","165.11111111111111"
"4","50","0","9","801","173.05077928607344","262.0208647561589"
"6","50","0.05","17","1834.8500000000006","321.7817752423016","559.8526356684253"
"3","50","0","15","1349","300.1062271062271","392.08924408924406"
"8","50","0.05","12","1181.0500000000004","192.27673796791447","435.2683346065699"
"2","50","0","5","509.00000000000006","94.82539682539684","203.39682539682542"
"6","50","0.05","18","1937.1000000000001","340.6317752423016","585.5026356684251"
"3","50","0","16","1496","334.7728937728937","433.4225774225774"
"4","50","0","10","860.9999999999999","188.7174459527401","281.35419808949223"
"6","50","0.05","19","1959.95","345.33177524230155","592.1526356684251"
"8","50","0.05","13","1202.4000000000003","199.87673796791444","438.76833460656997"
"6","50","0.05","20","2091.7","379.0553046540663","623.4761650801898"
"3","50","0","17","1566","346.7728937728938","456.60439560439556"
"4","50","0","11","960.0000000000002","212.55955121589795","306.40682966843957"
"8","50","0.05","14","1268.2500000000005","218.06007130124777","458.5016679399032"
"6","50","0.05","21","2242.9000000000005","410.50530465406626","684.5107804648053"
"6","50","0.05","22","2398.85","423.4553046540663","745.2964947505195"
"8","50","0.05","15","1366.8000000000004","243.5836007130125","472.4634326457856"
"8","50","0.05","16","1394.6000000000006","254.38360071301247","476.9634326457856"
"6","50","0.05","23","2550.0499999999997","447.6886379873996","791.0964947505195"
"2","50","0","6","618.0000000000001","105.82539682539684","222.73015873015873"
"3","50","0","18","1711","378.7728937728938","493.6043956043957"
"4","50","0","12","1110.0000000000002","247.2262178825646","341.07349633510626"
"8","50","0.05","17","1536.4500000000003","270.6493901866967","523.0450115931541"
"6","50","0.05","24","2701.049999999999","471.8219713207329","828.7576058616305"
"2","50","0","7","639.0000000000001","113.82539682539685","227.73015873015876"
"3","50","0","19","1823.0000000000005","399.7728937728938","529.6043956043957"
"8","50","0.05","18","1684.9499999999998","285.3065330438396","595.9712020693445"
"4","50","0","13","1258.9999999999998","262.86258151892827","413.6189508805608"
"6","50","0.05","25","2844.6999999999994","506.4219713207329","880.690939194964"
"3","50","0","20","1969.0000000000005","425.9547119547119","573.7652347652348"
"8","50","0.05","19","1745.6999999999998","301.9565330438395","605.0212020693446"
"2","50","0","8","660","120.82539682539682","232.73015873015873"
"4","50","0","14","1404.9999999999993","291.29115294749965","466.9046651662751"
"6","50","0.05","26","2946.0000000000014","529.3296636284252","921.1140161180408"
"8","50","0.05","20","1849.4499999999996","333.52471486202137","634.5621111602535"
"3","50","0","21","2001","438.95471195471197","578.7652347652348"
"4","50","0","15","1555.9999999999995","304.2911529474997","521.5713318329417"
"2","50","0","9","750.0000000000002","141.8730158730159","250.96825396825403"
"6","50","0.05","27","3011.65","541.5796636284252","938.1140161180408"
"4","50","0","16","1665.0000000000005","322.56388022022696","555.6622409238508"
"3","50","0","22","2110.9999999999995","459.9547119547119","608.7652347652348"
"8","50","0.05","21","1953.1499999999996","352.2747148620214","693.0621111602537"
"2","50","0","10","894.0000000000003","162.9906629318394","310.17740429505136"
"6","50","0.05","28","3157.45","569.9412020899637","978.1755545795794"
"3","50","0","23","2133","467.95471195471197","613.7652347652349"
"8","50","0.05","22","1977.1500000000003","363.17471486202135","695.7121111602536"
"4","50","0","17","1763.9999999999993","341.56388022022696","582.662240923851"
"2","50","0","11","1004.0000000000001","173.9906629318394","337.03454715219425"
"6","50","0.05","29","3265.2999999999993","586.4054878042496","1014.9612688652935"
"8","50","0.05","23","2040.9999999999998","378.83900057630706","707.7835397316823"
"4","50","0","18","1867.0000000000005","361.99245164879835","612.5193837809937"
"7","50","0.05","0","0","0","0"
"6","50","0.05","30","3415.3500000000004","616.0943766931381","1063.2779355319603"
"1","50","0","1","116.99999999999999","13","47.00000000000001"
"6","50","0.05","31","3438.149999999999","626.7943766931382","1065.9279355319602"
"4","50","0","19","1932.9999999999998","378.41350428037737","625.8351732546779"
"3","50","0","24","2229.9999999999995","491.0975690975691","646.3366633366634"
"8","50","0.05","24","2182.4000000000005","402.27536421267075","761.5153579135003"
"2","50","0","12","1156.0000000000005","213.12053306170955","381.43714455479164"
"5","50","0","1","110.99999999999997","13","58.142857142857146"
"6","50","0.05","32","3575.0500000000006","662.288027486789","1098.196983151008"
"4","50","0","20","2080.9999999999995","425.045982912856","669.1514125709173"
"3","50","0","25","2372.000000000001","509.8248418248418","685.6396936396936"
"6","50","0.05","33","3606.350000000001","674.888027486789","1104.7969831510081"
"4","50","0","21","2192","443.3187101855833","702.2423216618263"
"1","50","0","2","152","26","52.00000000000001"
"8","50","0.05","25","2330.9499999999994","434.92536421267073","800.8320245801668"
"4","50","0","22","2301","463.20759907447217","739.7978772173819"
"6","50","0.05","34","3752.45","692.1713608201223","1155.4469831510078"
"7","50","0.05","1","155","13","57.85714285714286"
"3","50","0","26","2523","522.8248418248419","754.0033300033301"
"4","50","0","23","2446","483.63617050304356","793.4472278667325"
"6","50","0.05","35","3892.850000000001","726.3213608201224","1206.496983151008"
"4","50","0","24","2559.9999999999986","496.63617050304356","839.4472278667325"
"5","50","0","2","263.00000000000006","26","123.36507936507934"
"7","50","0.05","2","269.24999999999994","26","84.40714285714286"
"4","50","0","25","2629.0000000000014","515.6361705030436","853.4472278667325"
"2","50","0","13","1265","230.3932603344368","428.07350819115527"
"6","50","0.05","36","4004.350000000001","755.8713608201225","1253.0969831510083"
"1","50","0","3","296.00000000000006","51.38461538461538","103.23076923076924"
"3","50","0","27","2670.0000000000005","542.8248418248418","817.912420912421"
"5","50","0","3","370.00000000000006","42.714285714285715","149.22222222222223"
"4","50","0","26","2770.0000000000014","555.5381312873573","892.9374239451639"
"8","50","0.05","26","2439.7000000000003","456.8586975460041","844.3820245801671"
"7","50","0.05","3","378.1499999999999","48.32857142857142","130.5214285714286"
"2","50","0","14","1373.9999999999998","255.53611747729394","453.2163653340124"
"6","50","0.05","37","4155.35","773.9940880928497","1320.5930870471118"
"3","50","0","28","2821.0000000000005","563.8248418248418","861.7306027306026"
"1","50","0","4","395.99999999999994","69.27350427350427","128.45299145299145"
"4","50","0","27","2919","577.5381312873573","961.3220393297794"
"8","50","0.05","27","2546.7000000000003","465.7586975460041","885.4956609438034"
"5","50","0","4","519.0000000000001","58.714285714285715","202.85858585858585"
"6","50","0.05","38","4178.799999999999","783.7440880928498","1326.0930870471116"
"3","50","0","29","2882","578.8248418248419","873.7306027306028"
"4","50","0","28","3032","598.4270201762461","1002.8775948853348"
"1","50","0","5","543.0000000000001","88.27350427350427","178.73870573870576"
"8","50","0.05","28","2564.45","471.60869754600407","889.9956609438036"
"6","50","0.05","39","4274.75","805.832183330945","1351.5002299042549"
"3","50","0","30","3033.999999999999","607.6026196026196","932.0639360639361"
"7","50","0.05","4","484.8999999999998","77.02857142857142","164.07142857142858"
"4","50","0","29","3143.0000000000005","610.4270201762462","1028.6553726631128"
"2","50","0","15","1443","283.53611747729394","469.21636533401244"
"1","50","0","6","647.0000000000001","117.60683760683762","205.07203907203908"
"8","50","0.05","29","2618.6","490.55869754600405","899.5956609438032"
"6","50","0.05","40","4417.35","833.5798023785641","1405.5288013328263"
"1","50","0","7","753","128.6068376068376","234.07203907203908"
"2","50","0","16","1545","302.8088447500212","507.58000169764875"
"7","50","0.05","5","625.7999999999998","98.36575091575092","208.95219780219782"
"8","50","0.05","30","2766.900000000001","518.130675567982","946.3643422624846"
"6","50","0.05","41","4448.849999999999","844.279802378564","1413.1288013328262"
"1","50","0","8","857.0000000000001","145.4957264957265","273.62759462759465"
"2","50","0","17","1697.0000000000005","328.14217808335457","554.5800016976488"
"5","50","0","5","664.9999999999999","91.71428571428572","247.85858585858585"
"8","50","0.05","31","2914.6","541.9575986449051","1012.272034570177"
"7","50","0.05","6","768.2500000000001","133.6824175824176","251.40219780219786"
"1","50","0","9","961.0000000000002","162.3846153846154","298.4053724053724"
"6","50","0.05","42","4511.85","862.4105716093331","1435.1403397943645"
"2","50","0","18","1844.0000000000005","345.1421780833545","613.0085731262202"
"3","50","0","31","3181.9999999999995","639.2692862692863","994.063936063936"
"8","50","0.05","32","3065.45","558.8075986449052","1071.722034570177"
"4","50","0","30","3249.0000000000005","619.4270201762461","1064.6553726631128"
"7","50","0.05","7","870.85","154.760989010989","286.1879120879121"
"1","50","0","10","1066.0000000000002","177.3846153846154","344.40537240537236"
"2","50","0","19","1994.0000000000005","385.2300901712667","667.6789027965499"
"6","50","0.05","43","4618.600000000001","881.1105716093332","1466.6903397943647"
"8","50","0.05","33","3132.3000000000006","577.4964875337942","1092.0498123479547"
"1","50","0","11","1203.0000000000002","203.2976588628762","389.1010245792855"
"5","50","0","6","736.0000000000001","107.04761904761905","275.19191919191917"
"6","50","0.05","44","4764.2","915.3221100708718","1516.9595705635957"
"3","50","0","32","3246.9999999999986","663.2692862692863","1001.0639360639361"
"8","50","0.05","34","3241.1499999999996","596.1853764226829","1133.1553679035103"
"1","50","0","12","1359","216.29765886287623","448.5454690237299"
"6","50","0.05","45","4867.7","933.9721100708717","1559.4595705635957"
"4","50","0","31","3344.0000000000005","624.4270201762462","1108.6553726631125"
"3","50","0","33","3397","699.9359529359531","1045.6598956598957"
"8","50","0.05","35","3301.9999999999995","612.9353764226829","1146.9553679035103"
"1","50","0","13","1508.9999999999998","232.29765886287623","490.54546902372994"
"1","50","0","14","1577.9999999999993","246.29765886287626","507.5454690237299"
"7","50","0.05","8","938.6","170.05543345543344","300.52680097680104"
"6","50","0.05","46","4968.349999999999","955.079802378564","1591.8788013328265"
"5","50","0","7","802.9999999999999","131.50915750915752","292.4996114996115"
"4","50","0","32","3440.0000000000005","627.4270201762462","1154.6553726631125"
"8","50","0.05","36","3444.5000000000005","647.2477947233366","1187.9952371845561"
"2","50","0","20","2063.0000000000005","397.2300901712666","682.986595104242"
"1","50","0","15","1607.9999999999995","256.2976588628763","513.54546902373"
"6","50","0.05","47","5071.149999999998","962.829802378564","1639.1930870471122"
"8","50","0.05","37","3473.149999999999","657.8477947233365","1192.7452371845561"
"3","50","0","34","3545.0000000000005","727.2692862692862","1096.3265623265625"
"2","50","0","21","2133.0000000000005","411.2300901712667","704.9865951042422"
"1","50","0","16","1712","278.8431134083308","552.9091053873663"
"7","50","0.05","9","1048.5000000000002","203.47081807081807","328.6921855921856"
"8","50","0.05","38","3622.2","684.4644613900032","1240.1119038512225"
"6","50","0.05","48","5169.9000000000015","967.6798023785641","1686.279450683476"
"2","50","0","22","2235.9999999999995","441.49324806600356","723.6181740516105"
"4","50","0","33","3534.000000000001","645.8885586377846","1202.7322957400356"
"1","50","0","17","1772.0000000000002","297.47469235569923","568.4354211768399"
"8","50","0.05","39","3691.949999999999","696.2644613900031","1270.3785705178893"
"2","50","0","23","2384.9999999999995","459.15991473267013","777.5070629404993"
"6","50","0.05","49","5188.950000000002","971.6298023785639","1692.829450683476"
"5","50","0","8","949.9999999999999","152.8121878121878","347.014763014763"
"1","50","0","18","1873.9999999999998","316.47469235569923","597.4354211768399"
"3","50","0","35","3692.999999999999","760.126429126429","1135.0408480408482"
"2","50","0","24","2487.9999999999995","485.30277187552736","802.3642057976423"
"6","50","0.05","50","5283.150000000001","987.9131357118973","1724.096117350142"
"1","50","0","19","1902.9999999999998","327.47469235569923","603.43542117684"
"8","50","0.05","40","3756.9500000000007","710.1644613900032","1295.9285705178893"
"7","50","0.05","10","1150.0499999999997","222.73748473748472","352.57551892551896"
"3","50","0","36","3848","785.4597624597624","1183.040848040848"
"4","50","0","34","3589","663.7033734525995","1213.139703147443"
"2","50","0","25","2632.999999999999","502.96943854219404","858.4411288745654"
"1","50","0","20","2007.9999999999998","349.8080256890326","635.1020878435066"
"6","50","0.05","51","5379.000000000001","991.7631357118973","1752.7961173501421"
"3","50","0","37","3994.0000000000005","811.126429126429","1246.040848040848"
"5","50","0","9","1063","164.8121878121878","388.5703185703186"
"2","50","0","26","2739.9999999999995","527.969438542194","879.4411288745655"
"1","50","0","21","2115","366.6969145779214","661.8798656212844"
"6","50","0.05","52","5517.25","1021.1417071404688","1808.4437363977618"
"3","50","0","38","4019.9999999999986","821.1264291264291","1250.040848040848"
"2","50","0","27","2842","537.969438542194","918.3642057976423"
"8","50","0.05","41","3863.65","742.53112805667","1322.428570517889"
"4","50","0","35","3700.9999999999995","676.7033734525995","1251.4254174331575"
"1","50","0","22","2211.9999999999995","381.6969145779214","703.8798656212844"
"7","50","0.05","11","1257.8499999999992","232.58748473748474","391.4112332112332"
"6","50","0.05","53","5584.6","1032.5917071404688","1833.509121013146"
"3","50","0","39","4123","851.9835719835719","1276.8979908979911"
"2","50","0","28","2945.9999999999995","556.3980099707654","968.078491511928"
"8","50","0.05","42","3889.1500000000005","750.2311280566698","1328.9285705178893"
"1","50","0","23","2311","386.6969145779214","748.8798656212844"
"4","50","0","36","3852.999999999999","693.147817897044","1317.6476396553799"
"6","50","0.05","54","5696.899999999998","1054.5917071404688","1859.1591210131458"
"3","50","0","40","4230.999999999999","861.983571983572","1290.8979908979911"
"2","50","0","29","3090.9999999999995","594.1757877485431","993.4673804008169"
"7","50","0.05","12","1281.5999999999997","239.43748473748477","399.9112332112332"
"8","50","0.05","43","3984.849999999999","764.4928927625521","1364.2197469884775"
"1","50","0","24","2366.000000000001","404.03024791125483","761.2502359916548"
"5","50","0","10","1172.0000000000002","181.47885447885446","423.2369852369853"
"6","50","0.05","55","5804.799999999999","1074.3305960293578","1899.2146765687012"
"2","50","0","30","3201.0000000000005","607.1757877485431","1030.8007137341503"
"3","50","0","41","4335.999999999999","870.983571983572","1323.5646575646576"
"1","50","0","25","2514.999999999999","423.3029751839821","808.0684178098367"
"8","50","0.05","44","4122.799999999999","783.3928927625523","1407.9106560793866"
"2","50","0","31","3303.9999999999995","636.1757877485431","1051.8007137341501"
"6","50","0.05","56","5952.55","1092.5033233020852","1961.623767477792"
"3","50","0","42","4439.999999999999","883.2562992562991","1372.2010212010214"
"4","50","0","37","4002.999999999999","719.8144845637106","1372.6476396553796"
"1","50","0","26","2630.9999999999995","443.302975183982","841.0684178098365"
"8","50","0.05","45","4276.45","796.0928927625521","1466.94398941272"
"2","50","0","32","3452.999999999999","661.4485150212704","1111.437077370514"
"3","50","0","43","4540","901.8017538017538","1412.5646575646574"
"6","50","0.05","57","6017.050000000002","1108.9199899687515","1976.1237674777924"
"5","50","0","11","1236.0000000000002","198.050283050283","435.95127095127106"
"1","50","0","27","2739.000000000001","464.6363085173154","890.7350844765033"
"2","50","0","33","3563.0000000000005","680.7212422939976","1144.5279864614229"
"3","50","0","44","4598.999999999999","921.3472083472084","1428.2919302919304"
"6","50","0.05","58","6162.950000000001","1139.8238361225976","2031.9814597854847"
"4","50","0","38","4147","734.0367067859328","1430.2031952109353"
