"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:30:23:341 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","0.5","0","0","0","0"
"7","50","0.05","0.5","0","0","0","0"
"4","50","0","0.5","1","72.99999999999999","25","47.99999999999999"
"6","50","0.05","0.5","0","0","0","0"
"4","50","0","0.5","2","189","50","138.99999999999997"
"4","50","0","0.5","3","259","71","188.00000000000003"
"5","50","0","0.5","0","0","0","0"
"6","50","0.05","0.5","1","103.99999999999997","17","86.99999999999999"
"4","50","0","0.5","4","324.00000000000006","93.66666666666667","230.33333333333331"
"4","50","0","0.5","5","383","108.74358974358975","274.2564102564102"
"7","50","0.05","0.5","1","77","26","51"
"4","50","0","0.5","6","441","126.31501831501832","314.6849816849818"
"1","50","0","0.5","0","0","0","0"
"6","50","0.05","0.5","2","215.74999999999994","34","181.74999999999994"
"4","50","0","0.5","7","456","131.31501831501834","324.6849816849817"
"4","50","0","0.5","8","506.99999999999994","146.22410922410924","360.7758907758908"
"6","50","0.05","0.5","3","233.35000000000002","43.650000000000006","189.7"
"2","50","0","0.5","0","0","0","0"
"4","50","0","0.5","9","604.0000000000001","213.2241092241092","390.77589077589084"
"6","50","0.05","0.5","4","254.19999999999993","51.550000000000004","202.65000000000003"
"7","50","0.05","0.5","2","108.30000000000003","52","56.30000000000002"
"4","50","0","0.5","10","638","237.22410922410924","400.77589077589073"
"4","50","0","0.5","11","792.0000000000001","280.22410922410916","511.77589077589073"
"6","50","0.05","0.5","5","387.65","101.2595238095238","286.3904761904762"
"4","50","0","0.5","12","826.0000000000003","302.2241092241092","523.7758907758907"
"6","50","0.05","0.5","6","413.1","117.7095238095238","295.39047619047614"
"4","50","0","0.5","13","850.0000000000002","318.22410922410916","531.7758907758908"
"4","50","0","0.5","14","908.0000000000006","347.04763863587385","560.9523613641261"
"6","50","0.05","0.5","7","509.74999999999994","132.85396825396825","376.89603174603167"
"4","50","0","0.5","15","1009","404.04763863587385","604.952361364126"
"6","50","0.05","0.5","8","570.5500000000001","158.03968253968253","412.5103174603174"
"7","50","0.05","0.5","3","175.10000000000005","79.22142857142858","95.87857142857149"
"4","50","0","0.5","16","1035.0000000000007","422.0476386358738","612.9523613641261"
"4","50","0","0.5","17","1102.9999999999995","450.47621006444535","652.5237899355545"
"6","50","0.05","0.5","9","599.2500000000002","172.73968253968255","426.5103174603174"
"7","50","0.05","0.5","4","201.1","100.02142857142857","101.07857142857144"
"4","50","0","0.5","18","1166.0000000000002","477.3853009735362","688.6146990264637"
"6","50","0.05","0.5","10","663.1500000000001","194.20634920634924","468.9436507936508"
