"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:50:07:315 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"7","50","0.05","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0","0"
"1","50","0","1","0","0","0","0","0","0"
"7","50","0.05","1","1","130.00000000000003","18.57142857142857","43.904761904761905","25.904761904761898","41.61904761904763"
"6","50","0.05","1","0","0","0","0","0","0"
"7","50","0.05","1","2","147.75000000000006","18.57142857142857","46.50476190476191","29.454761904761906","53.21904761904762"
"5","50","0","1","0","0","0","0","0","0"
"7","50","0.05","1","3","233.19999999999996","18.57142857142857","68.8968671679198","42.58634085213033","103.1453634085213"
"7","50","0.05","1","4","250.85","18.57142857142857","70.4968671679198","47.23634085213033","114.54536340852133"
"8","50","0.05","1","1","15","0","7","2","6"
"7","50","0.05","1","5","254.6000000000001","18.57142857142857","72.1968671679198","49.88634085213032","113.94536340852133"
"7","50","0.05","1","6","277.99999999999983","18.57142857142857","80.6968671679198","53.38634085213033","125.34536340852128"
"3","50","0","1","1","137","22.608695652173918","50.21739130434783","21.956521739130437","42.21739130434783"
"7","50","0.05","1","7","280.54999999999995","18.57142857142857","82.29686716791981","54.936340852130336","124.74536340852127"
"8","50","0.05","1","2","140.65","24.761904761904763","37.15562770562771","29.496103896103893","49.23636363636363"
"7","50","0.05","1","8","298.1","18.57142857142857","84.8468671679198","58.53634085213033","136.1453634085213"
"7","50","0.05","1","9","303.6499999999999","18.57142857142857","87.3468671679198","62.18634085213033","135.5453634085213"
"8","50","0.05","1","3","157.29999999999995","24.761904761904763","39.80562770562771","32.0961038961039","60.63636363636365"
"7","50","0.05","1","10","403.0999999999999","18.57142857142857","158.41829573934837","79.16491228070177","146.94536340852133"
"8","50","0.05","1","4","167.79999999999995","24.761904761904763","42.355627705627704","40.64610389610391","60.03636363636364"
"2","50","0","1","1","53.00000000000002","17.333333333333332","10","11","14.666666666666666"
"3","50","0","1","2","147","22.608695652173918","54.21739130434783","27.956521739130437","42.21739130434783"
"7","50","0.05","1","11","491.55","18.57142857142857","175.54987468671675","100.55701754385964","196.87167919799498"
"8","50","0.05","1","5","311.25000000000006","53.650793650793645","97.64213564213564","88.52070707070706","71.43636363636364"
"3","50","0","1","3","209","53.19693094629156","61.570332480818415","40.0153452685422","54.21739130434783"
"4","50","0","1","1","136.99999999999994","20.000000000000004","66.75824175824177","15.23076923076923","35.010989010989015"
"8","50","0.05","1","6","393.79999999999984","53.650793650793645","119.1897546897547","104.4088023088023","116.55064935064937"
"2","50","0","1","2","63.00000000000002","17.333333333333332","15","16","14.666666666666668"
"3","50","0","1","4","339","77.95883570819632","88.72572095199635","67.5717362459858","104.74370709382151"
"1","50","0","1","1","13","0","4","4","5"
"7","50","0.05","1","12","547.2","41.18012422360248","186.58465729541243","111.16353928299007","208.27167919799498"
"8","50","0.05","1","7","452.4999999999999","76.25948930296757","132.5854068636677","115.70445448271535","127.95064935064934"
"2","50","0","1","3","83","17.333333333333332","20","18.999999999999996","26.66666666666666"
"7","50","0.05","1","13","554.7499999999999","41.18012422360248","189.1346572954124","116.76353928299008","207.671679197995"
"3","50","0","1","5","438.0000000000001","77.95883570819632","124.72572095199635","118.57173624598582","116.74370709382151"
"5","50","0","1","1","10","0","3","3","4"
"8","50","0.05","1","8","504.0000000000001","110.92615596963425","144.46874019700107","121.25445448271536","127.3506493506493"
"7","50","0.05","1","14","655.4","41.18012422360248","242.78465729541244","152.36353928299008","219.07167919799497"
"2","50","0","1","4","92.99999999999997","17.333333333333332","24.999999999999996","23.999999999999996","26.66666666666666"
"3","50","0","1","6","524.9999999999998","77.95883570819632","151.07354703895285","137.4847797242467","158.48283752860416"
"8","50","0.05","1","9","637.3500000000001","132.59282263630087","209.10055837881927","156.90596963423053","138.75064935064933"
"1","50","0","1","2","141.00000000000006","22.608695652173918","36.74828375286041","26.116704805491988","55.52631578947368"
"2","50","0","1","5","108.99999999999996","17.333333333333332","25.999999999999996","26.999999999999996","38.666666666666664"
"7","50","0.05","1","15","783.0500000000002","62.846790890269155","272.9248533738438","172.33608830259791","274.9422674332891"
"7","50","0.05","1","16","803.4500000000002","62.846790890269155","277.4748533738438","176.7860883025979","286.3422674332892"
"8","50","0.05","1","10","644.9","132.59282263630087","213.60055837881927","160.5559696342305","138.15064935064936"
"3","50","0","1","7","588.0000000000001","105.32725676082792","161.28407335474233","150.90583235582562","170.48283752860414"
"1","50","0","1","3","160","22.608695652173918","40.74828375286041","29.11670480549199","67.52631578947368"
"2","50","0","1","6","114.99999999999996","17.333333333333332","29.999999999999996","28.999999999999993","38.666666666666664"
"7","50","0.05","1","17","929.9499999999998","90.2152119429007","307.0049449070246","205.24844528200296","327.4813978680716"
"8","50","0.05","1","11","659.5000000000001","132.59282263630087","216.20055837881927","161.15596963423047","149.5506493506494"
"3","50","0","1","8","636","134.21614564971685","172.17296224363125","159.12805457804782","170.48283752860414"
"7","50","0.05","1","18","985.7","113.85157557926439","320.5140358161155","212.4529907365484","338.88139786807164"
"2","50","0","1","7","141","17.333333333333332","37","36","50.66666666666667"
"7","50","0.05","1","19","992.2499999999997","113.85157557926439","325.0140358161155","215.10299073654843","338.28139786807174"
"8","50","0.05","1","12","664.1500000000001","132.59282263630087","218.80055837881923","163.8059696342305","148.95064935064934"
"3","50","0","1","9","778","158.97805041162155","222.79200986267887","213.74710219709544","182.48283752860414"
"7","50","0.05","1","20","1014.8499999999996","113.85157557926439","330.5640358161155","220.7529907365484","349.68139786807166"
"2","50","0","1","8","187.00000000000006","38.13333333333334","49","49.2","50.666666666666664"
"8","50","0.05","1","13","802.6999999999998","156.22918627266455","269.80510383336474","216.3150605433214","160.35064935064935"
"3","50","0","1","10","870.9999999999998","158.97805041162155","241.42358881004725","237.58920746025336","233.00915331807778"
"4","50","0","1","2","145.99999999999994","20.000000000000004","69.75824175824177","21.230769230769234","35.010989010989015"
"7","50","0.05","1","21","1062.4000000000003","138.61348034116912","338.9235596256393","235.78156216511982","349.08139786807163"
"8","50","0.05","1","14","811.2000000000004","156.22918627266455","274.35510383336475","220.86506054332148","159.75064935064935"
"5","50","0","1","2","33","0","9","8","16"
"6","50","0.05","1","1","52.00000000000001","24.761904761904763","8.619047619047619","7.904761904761905","10.714285714285715"
"3","50","0","1","11","1018.0000000000002","186.34647146425317","332.63411512583673","254.01026009183235","245.00915331807772"
"7","50","0.05","1","22","1081.05","138.61348034116912","344.5735596256394","237.38156216511982","360.4813978680716"
"8","50","0.05","1","15","867.6500000000003","185.1180751615534","285.9662149444758","225.41506054332143","171.15064935064936"
"5","50","0","1","3","40","0","13","11","16"
"4","50","0","1","3","286","41.666666666666664","123.75824175824177","73.56410256410255","47.010989010989015"
"3","50","0","1","12","1027.0000000000005","186.34647146425317","337.6341151258368","258.01026009183227","245.00915331807772"
