"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:35:33:103 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"5","50","0","1","0","0","0","0"
"3","50","0","1","0","0","0","0"
"8","50","0.05","1","0","0","0","0"
"1","50","0","1","0","0","0","0"
"6","50","0.05","1","0","0","0","0"
"7","50","0.05","1","0","0","0","0"
"2","50","0","1","0","0","0","0"
"4","50","0","1","0","0","0","0"
"5","50","0","1","1","50","50","0"
"3","50","0","1","1","50","50","0"
"5","50","0","1","2","100","100","0"
"2","50","0","1","1","50","50","0"
"3","50","0","1","2","100","100","0"
"5","50","0","1","3","140","140","0"
"8","50","0.05","1","1","50","50","0"
"2","50","0","1","2","100","100","0"
"5","50","0","1","4","213.00000000000006","213.00000000000006","0"
"3","50","0","1","3","141","141","0"
"8","50","0.05","1","2","100","100","0"
"5","50","0","1","5","247.00000000000006","247.00000000000006","0"
"6","50","0.05","1","1","50","50","0"
"3","50","0","1","4","174","174","0"
"8","50","0.05","1","3","180.55","180.55","0"
"5","50","0","1","6","270.00000000000006","270.00000000000006","0"
"3","50","0","1","5","238.9999999999999","238.9999999999999","0"
"7","50","0.05","1","1","50","50","0"
"5","50","0","1","7","278.00000000000006","278.00000000000006","0"
"2","50","0","1","3","172","172","0"
"8","50","0.05","1","4","211.59999999999994","211.59999999999994","0"
"4","50","0","1","1","50","50","0"
"3","50","0","1","6","264","264","0"
"7","50","0.05","1","2","100","100","0"
"5","50","0","1","8","405","405","0"
"6","50","0.05","1","2","100","100","0"
"4","50","0","1","2","100","100","0"
"3","50","0","1","7","278.99999999999994","278.99999999999994","0"
"8","50","0.05","1","5","315.19999999999993","315.19999999999993","0"
"5","50","0","1","9","451.00000000000006","451.00000000000006","0"
"2","50","0","1","4","248.00000000000003","248.00000000000003","0"
"7","50","0.05","1","3","176.35000000000002","176.35000000000002","0"
"3","50","0","1","8","332","332","0"
"4","50","0","1","3","262","262","0"
"8","50","0.05","1","6","346.84999999999974","346.84999999999974","0"
