"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary mutation-magnitude"
"05/07/2018 23:07:05:844 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","p","num-variants","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"5","1","50","0","0","0","1","0","0","0","0","0"
"7","1","50","0.05","0","0","1","0","0","0","0","0"
"2","1","50","0","0","0","1","0","0","0","0","0"
"5","1","50","0","0","0","1","1","59.999999999999986","20","17","13"
"3","1","50","0","0","0","1","0","0","0","0","0"
"7","1","50","0.05","0","0","1","1","57.999999999999986","18","14","18"
"6","1","50","0.05","0","0","1","0","0","0","0","0"
"4","1","50","0","0","0","1","0","0","0","0","0"
"5","1","50","0","0","0","1","2","59.999999999999986","0","23","27"
"2","1","50","0","0","0","1","1","134.99999999999991","15","21","14"
"8","1","50","0.05","0","0","1","0","0","0","0","0"
"7","1","50","0.05","0","0","1","2","99.00000000000003","1","19","30"
"4","1","50","0","0","0","1","1","15","15","15","20"
"1","1","50","0","0","0","1","0","0","0","0","0"
"5","1","50","0","0","0","1","3","102.00000000000001","2","24","24"
"7","1","50","0.05","0","0","1","3","144.00000000000006","5","20","25"
"2","1","50","0","0","0","1","2","177","2","31","17"
"6","1","50","0.05","0","0","1","1","55.00000000000002","15","19","16"
"5","1","50","0","0","0","1","4","104.00000000000001","2","24","24"
"8","1","50","0.05","0","0","1","1","55","15","21","14"
"7","1","50","0.05","0","0","1","4","147.00000000000006","3","21","26"
"3","1","50","0","0","0","1","1","14","14","18","18"
"5","1","50","0","0","0","1","5","106.00000000000004","2","24","24"
"6","1","50","0.05","0","0","1","2","55.00000000000003","0","23","27"
"7","1","50","0.05","0","0","1","5","189.00000000000006","2","20","28"
"5","1","50","0","0","0","1","6","108","2","24","24"
"1","1","50","0","0","0","1","1","140","20","12","18"
"7","1","50","0.05","0","0","1","6","272.00000000000006","3","19","28"
"5","1","50","0","0","0","1","7","110.00000000000003","2","24","24"
"2","1","50","0","0","0","1","3","219.99999999999997","3","29","18"
"4","1","50","0","0","0","1","2","136","1","30","19"
"3","1","50","0","0","0","1","2","15","1","18","31"
"8","1","50","0.05","0","0","1","2","55","0","23","27"
"7","1","50","0.05","0","0","1","7","354","2","21","27"
"5","1","50","0","0","0","1","8","112.00000000000001","2","24","24"
"2","1","50","0","0","0","1","4","264","4","28","18"
"1","1","50","0","0","0","1","2","262","2","24","24"
"5","1","50","0","0","0","1","9","114.00000000000003","2","24","24"
"6","1","50","0.05","0","0","1","3","96.00000000000006","1","19","30"
"2","1","50","0","0","0","1","5","268.99999999999994","5","28","17"
"7","1","50","0.05","0","0","1","8","356.00000000000006","2","24","24"
"6","1","50","0.05","0","0","1","4","178.0000000000001","2","19","29"
"2","1","50","0","0","0","1","6","314.00000000000006","5","28","17"
"3","1","50","0","0","0","1","3","56.000000000000014","1","22","27"
"6","1","50","0.05","0","0","1","5","218.00000000000009","0","20","30"
"7","1","50","0.05","0","0","1","9","397","1","21","28"
"8","1","50","0.05","0","0","1","3","134.99999999999997","0","21","29"
"5","1","50","0","0","0","1","10","156","2","24","24"
"2","1","50","0","0","0","1","7","318.99999999999994","5","28","17"
"3","1","50","0","0","0","1","4","58.00000000000001","2","20","28"
"6","1","50","0.05","0","0","1","6","258.0000000000001","0","18","32"
"7","1","50","0.05","0","0","1","10","439","2","22","26"
"8","1","50","0.05","0","0","1","4","175.99999999999994","1","23","26"
"2","1","50","0","0","0","1","8","443.99999999999994","5","28","17"
"3","1","50","0","0","0","1","5","99.99999999999999","2","20","28"
"6","1","50","0.05","0","0","1","7","258.0000000000001","0","18","32"
"4","1","50","0","0","0","1","3","175.9999999999999","0","33","17"
"7","1","50","0.05","0","0","1","11","481.9999999999999","3","21","26"
"8","1","50","0.05","0","0","1","5","175.99999999999997","0","21","29"
"2","1","50","0","0","0","1","9","489.0000000000002","5","28","17"
"5","1","50","0","0","0","1","11","158.00000000000006","2","24","24"
"1","1","50","0","0","0","1","3","302.99999999999994","1","19","30"
"6","1","50","0.05","0","0","1","8","298.00000000000017","0","19","31"
"3","1","50","0","0","0","1","6","141.99999999999997","2","20","28"
"4","1","50","0","0","0","1","4","176","0","31","19"
"5","1","50","0","0","0","1","12","199.99999999999997","2","24","24"
"7","1","50","0.05","0","0","1","12","603.9999999999998","2","21","27"
"2","1","50","0","0","0","1","10","614","5","28","17"
"6","1","50","0.05","0","0","1","9","338.00000000000017","0","20","30"
"8","1","50","0.05","0","0","1","6","255.99999999999997","0","23","27"
"4","1","50","0","0","0","1","5","295.99999999999983","0","33","17"
"7","1","50","0.05","0","0","1","13","727","3","22","25"
"5","1","50","0","0","0","1","13","242","2","24","24"
"1","1","50","0","0","0","1","4","306","3","18","29"
