"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"Pool counts of each turtle"
"05/20/2018 15:46:28:445 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","percent-to-replace","N","mutation-magnitude","tau","mem-size","p","num-variants","[step]","[list strategy total-pool-counts] of turtles"
"3","1","50","0.1","0.63","6","0","1","100","[[8 [30 49 21]] [8 [0 62 38]] [8 [62 0 38]] [8 [8 54 38]] [8 [14 1 85]] [8 [0 92 8]] [8 [12 79 9]] [8 [46 54 0]] [8 [43 5 52]] [8 [2 54 44]] [8 [38 29 33]] [8 [4 1 95]] [8 [0 76 24]] [8 [79 0 21]] [8 [1 24 75]] [8 [27 55 18]] [8 [7 64 29]] [8 [0 100 0]] [8 [6 29 65]] [8 [19 20 61]] [8 [8 56 36]] [8 [0 26 74]] [8 [6 84 10]] [8 [6 79 15]] [8 [5 17 78]] [8 [20 9 71]] [8 [51 0 49]] [8 [3 44 53]] [8 [10 20 70]] [8 [18 82 0]] [8 [6 53 41]] [8 [12 88 0]] [8 [0 21 79]] [8 [0 7 93]] [8 [36 10 54]] [8 [41 2 57]] [8 [17 0 83]] [8 [58 36 6]] [8 [3 2 95]] [8 [0 53 47]] [8 [1 18 81]] [8 [12 14 74]] [8 [55 33 12]] [8 [7 9 84]] [8 [76 1 23]] [8 [40 24 36]] [8 [0 15 85]] [8 [61 18 21]] [8 [12 49 39]] [8 [9 49 42]]]"
"7","1","50","0.3","0.63","6","0","1","100","[[8 [23 58 19]] [8 [74 14 12]] [8 [72 23 5]] [8 [5 86 9]] [8 [86 12 2]] [8 [16 58 26]] [8 [20 39 41]] [8 [76 1 23]] [8 [81 2 17]] [8 [44 30 26]] [8 [35 38 27]] [8 [44 22 34]] [8 [80 18 2]] [8 [68 24 8]] [8 [92 0 8]] [8 [39 41 20]] [8 [42 34 24]] [8 [15 73 12]] [8 [65 21 14]] [8 [39 18 43]] [8 [88 4 8]] [8 [61 3 36]] [8 [22 66 12]] [8 [51 26 23]] [8 [13 36 51]] [8 [71 0 29]] [8 [43 52 5]] [8 [19 74 7]] [8 [79 11 10]] [8 [93 1 6]] [8 [14 61 25]] [8 [51 35 14]] [8 [11 29 60]] [8 [36 42 22]] [8 [71 9 20]] [8 [51 31 18]] [8 [36 31 33]] [8 [37 14 49]] [8 [46 29 25]] [8 [6 73 21]] [8 [63 8 29]] [8 [93 5 2]] [8 [89 8 3]] [8 [69 20 11]] [8 [73 16 11]] [8 [92 6 2]] [8 [59 17 24]] [8 [59 32 9]] [8 [56 18 26]] [8 [45 20 35]]]"
"4","1","50","0.15","0.63","6","0","1","100","[[8 [1 56 43]] [8 [50 36 14]] [8 [0 84 16]] [8 [42 2 56]] [8 [7 27 66]] [8 [9 35 56]] [8 [22 78 0]] [8 [0 71 29]] [8 [20 71 9]] [8 [7 65 28]] [8 [5 0 95]] [8 [48 36 16]] [8 [58 1 41]] [8 [93 0 7]] [8 [81 0 19]] [8 [88 12 0]] [8 [59 13 28]] [8 [13 87 0]] [8 [59 0 41]] [8 [24 14 62]] [8 [28 40 32]] [8 [33 0 67]] [8 [7 33 60]] [8 [9 91 0]] [8 [3 22 75]] [8 [3 71 26]] [8 [59 26 15]] [8 [2 83 15]] [8 [0 53 47]] [8 [69 31 0]] [8 [53 36 11]] [8 [5 23 72]] [8 [11 69 20]] [8 [3 9 88]] [8 [5 40 55]] [8 [57 1 42]] [8 [0 70 30]] [8 [16 38 46]] [8 [0 61 39]] [8 [9 61 30]] [8 [43 11 46]] [8 [55 42 3]] [8 [38 52 10]] [8 [6 81 13]] [8 [5 0 95]] [8 [35 37 28]] [8 [3 61 36]] [8 [77 2 21]] [8 [11 50 39]] [8 [35 58 7]]]"
"6","1","50","0.25","0.63","6","0","1","100","[[8 [41 43 16]] [8 [26 22 52]] [8 [75 0 25]] [8 [73 0 27]] [8 [20 60 20]] [8 [34 16 50]] [8 [64 21 15]] [8 [52 6 42]] [8 [76 8 16]] [8 [13 47 40]] [8 [26 36 38]] [8 [87 5 8]] [8 [48 20 32]] [8 [55 32 13]] [8 [15 2 83]] [8 [28 40 32]] [8 [39 53 8]] [8 [47 21 32]] [8 [67 13 20]] [8 [53 37 10]] [8 [64 6 30]] [8 [10 54 36]] [8 [11 47 42]] [8 [33 67 0]] [8 [40 41 19]] [8 [69 9 22]] [8 [47 28 25]] [8 [57 19 24]] [8 [76 3 21]] [8 [66 13 21]] [8 [28 32 40]] [8 [52 23 25]] [8 [49 4 47]] [8 [41 29 30]] [8 [10 50 40]] [8 [44 28 28]] [8 [30 57 13]] [8 [14 86 0]] [8 [73 0 27]] [8 [17 52 31]] [8 [42 36 22]] [8 [23 46 31]] [8 [17 14 69]] [8 [4 85 11]] [8 [44 34 22]] [8 [87 0 13]] [8 [82 1 17]] [8 [23 47 30]] [8 [85 7 8]] [8 [15 65 20]]]"
"2","1","50","0.05","0.63","6","0","1","100","[[8 [8 0 92]] [8 [0 100 0]] [8 [32 2 66]] [8 [27 0 73]] [8 [11 68 21]] [8 [0 99 1]] [8 [1 34 65]] [8 [49 0 51]] [8 [0 96 4]] [8 [0 73 27]] [8 [3 85 12]] [8 [0 65 35]] [8 [0 0 100]] [8 [16 3 81]] [8 [0 0 100]] [8 [10 77 13]] [8 [35 31 34]] [8 [47 46 7]] [8 [0 0 100]] [8 [52 1 47]] [8 [23 0 77]] [8 [0 1 99]] [8 [9 30 61]] [8 [25 0 75]] [8 [15 26 59]] [8 [1 20 79]] [8 [12 71 17]] [8 [13 87 0]] [8 [12 30 58]] [8 [6 0 94]] [8 [44 0 56]] [8 [0 42 58]] [8 [0 76 24]] [8 [0 0 100]] [8 [9 58 33]] [8 [0 8 92]] [8 [0 4 96]] [8 [0 43 57]] [8 [23 77 0]] [8 [3 0 97]] [8 [5 77 18]] [8 [0 0 100]] [8 [50 0 50]] [8 [2 98 0]] [8 [0 51 49]] [8 [14 84 2]] [8 [0 100 0]] [8 [21 79 0]] [8 [13 9 78]] [8 [3 29 68]]]"
"8","1","50","0.35","0.63","6","0","1","100","[[8 [42 50 8]] [8 [91 3 6]] [8 [62 7 31]] [8 [48 6 46]] [8 [71 18 11]] [8 [86 2 12]] [8 [60 21 19]] [8 [92 0 8]] [8 [46 46 8]] [8 [59 34 7]] [8 [65 30 5]] [8 [71 22 7]] [8 [77 18 5]] [8 [65 21 14]] [8 [53 20 27]] [8 [46 37 17]] [8 [53 0 47]] [8 [57 25 18]] [8 [79 5 16]] [8 [55 15 30]] [8 [82 14 4]] [8 [78 8 14]] [8 [38 8 54]] [8 [97 0 3]] [8 [55 43 2]] [8 [48 23 29]] [8 [84 3 13]] [8 [94 0 6]] [8 [55 42 3]] [8 [40 36 24]] [8 [80 20 0]] [8 [52 5 43]] [8 [67 4 29]] [8 [60 20 20]] [8 [84 0 16]] [8 [42 14 44]] [8 [53 24 23]] [8 [15 64 21]] [8 [38 51 11]] [8 [41 16 43]] [8 [63 14 23]] [8 [32 15 53]] [8 [63 3 34]] [8 [58 36 6]] [8 [51 24 25]] [8 [90 3 7]] [8 [57 32 11]] [8 [48 35 17]] [8 [60 24 16]] [8 [41 22 37]]]"
"5","1","50","0.2","0.63","6","0","1","100","[[8 [72 13 15]] [8 [40 51 9]] [8 [48 0 52]] [8 [34 18 48]] [8 [24 46 30]] [8 [77 0 23]] [8 [19 66 15]] [8 [7 86 7]] [8 [45 12 43]] [8 [24 53 23]] [8 [8 80 12]] [8 [55 35 10]] [8 [44 46 10]] [8 [32 26 42]] [8 [57 0 43]] [8 [69 31 0]] [8 [14 86 0]] [8 [56 15 29]] [8 [21 53 26]] [8 [40 24 36]] [8 [28 16 56]] [8 [89 6 5]] [8 [40 60 0]] [8 [16 26 58]] [8 [14 57 29]] [8 [11 47 42]] [8 [36 49 15]] [8 [27 35 38]] [8 [1 87 12]] [8 [71 5 24]] [8 [67 28 5]] [8 [6 21 73]] [8 [2 29 69]] [8 [94 0 6]] [8 [11 13 76]] [8 [38 17 45]] [8 [22 25 53]] [8 [58 10 32]] [8 [20 71 9]] [8 [8 60 32]] [8 [11 89 0]] [8 [17 20 63]] [8 [74 18 8]] [8 [59 41 0]] [8 [5 57 38]] [8 [64 11 25]] [8 [19 51 30]] [8 [75 12 13]] [8 [2 64 34]] [8 [20 71 9]]]"
"1","1","50","0","0.63","6","0","1","100","[[8 [100 0 0]] [8 [1 99 0]] [8 [0 98 2]] [8 [0 2 98]] [8 [1 0 99]] [8 [2 98 0]] [8 [0 100 0]] [8 [0 0 100]] [8 [100 0 0]] [8 [1 99 0]] [8 [0 100 0]] [8 [1 0 99]] [8 [0 100 0]] [8 [2 0 98]] [8 [0 99 1]] [8 [1 0 99]] [8 [1 99 0]] [8 [1 99 0]] [8 [0 99 1]] [8 [0 100 0]] [8 [0 1 99]] [8 [1 99 0]] [8 [0 99 1]] [8 [0 99 1]] [8 [100 0 0]] [8 [1 0 99]] [8 [0 0 100]] [8 [0 100 0]] [8 [1 99 0]] [8 [0 0 100]] [8 [1 99 0]] [8 [1 99 0]] [8 [0 0 100]] [8 [0 2 98]] [8 [0 100 0]] [8 [0 100 0]] [8 [0 1 99]] [8 [0 100 0]] [8 [0 99 1]] [8 [0 100 0]] [8 [0 100 0]] [8 [1 99 0]] [8 [0 100 0]] [8 [0 0 100]] [8 [0 100 0]] [8 [0 100 0]] [8 [100 0 0]] [8 [1 0 99]] [8 [0 99 1]] [8 [0 99 1]]]"
"9","1","50","0.4","0.63","6","0","1","100","[[8 [56 14 30]] [8 [72 8 20]] [8 [84 3 13]] [8 [70 16 14]] [8 [78 5 17]] [8 [38 30 32]] [8 [31 39 30]] [8 [50 50 0]] [8 [77 16 7]] [8 [66 10 24]] [8 [50 17 33]] [8 [52 38 10]] [8 [39 27 34]] [8 [40 23 37]] [8 [57 18 25]] [8 [74 19 7]] [8 [29 45 26]] [8 [21 64 15]] [8 [41 44 15]] [8 [58 4 38]] [8 [49 38 13]] [8 [76 16 8]] [8 [54 21 25]] [8 [50 18 32]] [8 [68 13 19]] [8 [90 7 3]] [8 [27 25 48]] [8 [76 12 12]] [8 [55 32 13]] [8 [79 11 10]] [8 [42 52 6]] [8 [59 13 28]] [8 [43 53 4]] [8 [51 12 37]] [8 [13 31 56]] [8 [49 24 27]] [8 [46 13 41]] [8 [58 42 0]] [8 [84 7 9]] [8 [36 37 27]] [8 [54 22 24]] [8 [28 60 12]] [8 [47 24 29]] [8 [40 14 46]] [8 [63 13 24]] [8 [16 39 45]] [8 [37 26 37]] [8 [39 40 21]] [8 [93 1 6]] [8 [25 9 66]]]"
"10","1","50","0.45","0.63","6","0","1","100","[[8 [80 6 14]] [8 [62 38 0]] [8 [56 21 23]] [8 [81 13 6]] [8 [61 22 17]] [8 [63 23 14]] [8 [63 13 24]] [8 [49 13 38]] [8 [73 14 13]] [8 [70 18 12]] [8 [33 61 6]] [8 [61 9 30]] [8 [65 7 28]] [8 [43 43 14]] [8 [58 26 16]] [8 [59 39 2]] [8 [73 18 9]] [8 [43 48 9]] [8 [37 45 18]] [8 [71 7 22]] [8 [37 44 19]] [8 [53 34 13]] [8 [82 1 17]] [8 [58 22 20]] [8 [44 18 38]] [8 [77 0 23]] [8 [22 10 68]] [8 [69 9 22]] [8 [68 17 15]] [8 [49 12 39]] [8 [64 7 29]] [8 [58 16 26]] [8 [65 7 28]] [8 [46 35 19]] [8 [79 1 20]] [8 [73 9 18]] [8 [75 13 12]] [8 [47 28 25]] [8 [58 36 6]] [8 [50 8 42]] [8 [71 15 14]] [8 [37 40 23]] [8 [63 11 26]] [8 [48 2 50]] [8 [72 1 27]] [8 [79 9 12]] [8 [57 20 23]] [8 [49 34 17]] [8 [74 13 13]] [8 [78 3 19]]]"
