"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/27/2018 21:32:57:938 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"8","50","0.05","0","0","0","0","0"
"1","50","0","0","0","0","0","0"
"8","50","0.05","0","1","58.000000000000014","0","58.000000000000014"
"8","50","0.05","0","2","198.60000000000002","0","198.60000000000002"
"8","50","0.05","0","3","329.75000000000006","0","329.75000000000006"
"6","50","0.05","0","0","0","0","0"
"8","50","0.05","0","4","393.19999999999993","0","393.19999999999993"
"8","50","0.05","0","5","411.5000000000001","0","411.5000000000001"
"5","50","0","0","0","0","0","0"
"4","50","0","0","0","0","0","0"
"8","50","0.05","0","6","428.4999999999999","0","428.4999999999999"
"1","50","0","0","1","14","0","14"
"8","50","0.05","0","7","481.84999999999997","0","481.84999999999997"
"8","50","0.05","0","8","537.9499999999998","0","537.9499999999998"
"2","50","0","0","0","0","0","0"
"8","50","0.05","0","9","674.3","0","674.3"
"8","50","0.05","0","10","805.75","0","805.75"
"6","50","0.05","0","1","9","0","9"
"8","50","0.05","0","11","941","0","941"
"8","50","0.05","0","12","946.3500000000001","0","946.3500000000001"
"1","50","0","0","2","67.99999999999999","0","67.99999999999999"
"1","50","0","0","3","121.00000000000004","0","121.00000000000004"
"8","50","0.05","0","13","1002.5500000000001","0","1002.5500000000001"
"7","50","0.05","0","0","0","0","0"
"8","50","0.05","0","14","1020","0","1020"
"1","50","0","0","4","257.0000000000001","0","257.0000000000001"
"8","50","0.05","0","15","1073.2999999999997","0","1073.2999999999997"
"1","50","0","0","5","316.0000000000001","0","316.0000000000001"
"8","50","0.05","0","16","1093.4","0","1093.4"
"1","50","0","0","6","413.0000000000001","0","413.0000000000001"
"8","50","0.05","0","17","1182.45","0","1182.45"
"1","50","0","0","7","546.9999999999999","0","546.9999999999999"
"8","50","0.05","0","18","1198.8500000000004","0","1198.8500000000004"
"8","50","0.05","0","19","1335.9999999999998","0","1335.9999999999998"
"1","50","0","0","8","566","0","566"
"8","50","0.05","0","20","1348.65","0","1348.65"
"1","50","0","0","9","585","0","585"
"8","50","0.05","0","21","1408.8","0","1408.8"
"8","50","0.05","0","22","1423.3000000000004","0","1423.3000000000004"
"1","50","0","0","10","716.0000000000002","0","716.0000000000002"
"5","50","0","0","1","95","0","95"
"8","50","0.05","0","23","1440.8","0","1440.8"
"1","50","0","0","11","813.0000000000001","0","813.0000000000001"
"6","50","0.05","0","2","66.05000000000004","0","66.05000000000004"
"1","50","0","0","12","870.0000000000001","0","870.0000000000001"
"8","50","0.05","0","24","1454.1000000000001","0","1454.1000000000001"
"6","50","0.05","0","3","76.35000000000005","0","76.35000000000005"
"1","50","0","0","13","926","0","926"
"8","50","0.05","0","25","1508.2","0","1508.2"
"6","50","0.05","0","4","166.75","0","166.75"
"1","50","0","0","14","1023.0000000000005","0","1023.0000000000005"
"6","50","0.05","0","5","174.14999999999995","0","174.14999999999995"
