"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/05/2018 15:17:25:980 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"2","50","0","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"7","50","0.05","1","0","0","0","0","0","0"
"5","50","0","1","0","0","0","0","0","0"
"6","50","0.05","1","0","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"3","50","0","1","1","53.99999999999999","53.99999999999999","0","0","0"
"7","50","0.05","1","1","59.99999999999999","59.99999999999999","0","0","0"
"2","50","0","1","1","139.00000000000003","139.00000000000003","0","0","0"
"3","50","0","1","2","135.00000000000003","135.00000000000003","0","0","0"
"8","50","0.05","1","1","55.999999999999986","55.999999999999986","0","0","0"
"2","50","0","1","2","141.00000000000003","141.00000000000003","0","0","0"
"6","50","0.05","1","1","14","14","0","0","0"
"7","50","0.05","1","2","98.05000000000001","98.05000000000001","0","0","0"
"1","50","0","1","0","0","0","0","0","0"
"5","50","0","1","1","9","9","0","0","0"
"8","50","0.05","1","2","55.550000000000004","55.550000000000004","0","0","0"
"4","50","0","1","1","97","97","0","0","0"
"6","50","0.05","1","2","12.449999999999992","12.449999999999992","0","0","0"
"5","50","0","1","2","50","50","0","0","0"
"3","50","0","1","3","139.00000000000006","139.00000000000006","0","0","0"
"4","50","0","1","2","139","139","0","0","0"
"7","50","0.05","1","3","138.90000000000003","138.90000000000003","0","0","0"
"1","50","0","1","1","14","14","0","0","0"
"2","50","0","1","3","185.0000000000001","185.0000000000001","0","0","0"
"8","50","0.05","1","3","98.19999999999999","98.19999999999999","0","0","0"
"3","50","0","1","4","182.00000000000006","182.00000000000006","0","0","0"
"5","50","0","1","3","96","96","0","0","0"
"2","50","0","1","4","231.0000000000001","231.0000000000001","0","0","0"
"1","50","0","1","2","54.00000000000002","54.00000000000002","0","0","0"
"7","50","0.05","1","4","182.95","182.95","0","0","0"
"3","50","0","1","5","263.99999999999994","263.99999999999994","0","0","0"
"8","50","0.05","1","4","102.7","102.7","0","0","0"
"7","50","0.05","1","5","190.59999999999994","190.59999999999994","0","0","0"
"3","50","0","1","6","309.9999999999999","309.9999999999999","0","0","0"
"4","50","0","1","3","185.00000000000003","185.00000000000003","0","0","0"
"5","50","0","1","4","140.00000000000003","140.00000000000003","0","0","0"
"2","50","0","1","5","275.00000000000006","275.00000000000006","0","0","0"
"3","50","0","1","7","435","435","0","0","0"
"8","50","0.05","1","5","226.85","226.85","0","0","0"
"7","50","0.05","1","6","315.80000000000007","315.80000000000007","0","0","0"
"6","50","0.05","1","3","16.149999999999995","16.149999999999995","0","0","0"
"2","50","0","1","6","358.99999999999983","358.99999999999983","0","0","0"
"1","50","0","1","3","101.99999999999997","101.99999999999997","0","0","0"
"3","50","0","1","8","441.99999999999983","441.99999999999983","0","0","0"
"5","50","0","1","5","185.00000000000003","185.00000000000003","0","0","0"
"8","50","0.05","1","6","312","312","0","0","0"
"4","50","0","1","4","231.99999999999997","231.99999999999997","0","0","0"
"7","50","0.05","1","7","317.9999999999999","317.9999999999999","0","0","0"
"6","50","0.05","1","4","99.45000000000003","99.45000000000003","0","0","0"
"3","50","0","1","9","450","450","0","0","0"
"8","50","0.05","1","7","316.20000000000005","316.20000000000005","0","0","0"
"2","50","0","1","7","402.99999999999994","402.99999999999994","0","0","0"
"1","50","0","1","4","148","148","0","0","0"
"5","50","0","1","6","271.99999999999994","271.99999999999994","0","0","0"
"4","50","0","1","5","279.00000000000006","279.00000000000006","0","0","0"
"6","50","0.05","1","5","226.25000000000006","226.25000000000006","0","0","0"
"7","50","0.05","1","8","401.6000000000001","401.6000000000001","0","0","0"
"8","50","0.05","1","8","318.44999999999993","318.44999999999993","0","0","0"
"3","50","0","1","10","572.0000000000001","572.0000000000001","0","0","0"
"5","50","0","1","7","277.0000000000001","277.0000000000001","0","0","0"
"1","50","0","1","5","154","154","0","0","0"
"4","50","0","1","6","321.9999999999999","321.9999999999999","0","0","0"
"6","50","0.05","1","6","234.89999999999992","234.89999999999992","0","0","0"
"2","50","0","1","8","408.9999999999998","408.9999999999998","0","0","0"
"7","50","0.05","1","9","482.1499999999998","482.1499999999998","0","0","0"
"8","50","0.05","1","9","363.44999999999993","363.44999999999993","0","0","0"
"3","50","0","1","11","696.0000000000001","696.0000000000001","0","0","0"
"2","50","0","1","9","493.99999999999994","493.99999999999994","0","0","0"
"6","50","0.05","1","7","360.4999999999999","360.4999999999999","0","0","0"
"4","50","0","1","7","408.99999999999994","408.99999999999994","0","0","0"
"7","50","0.05","1","10","485.5999999999999","485.5999999999999","0","0","0"
"8","50","0.05","1","10","369.45000000000005","369.45000000000005","0","0","0"
"1","50","0","1","6","197","197","0","0","0"
"3","50","0","1","12","779.9999999999998","779.9999999999998","0","0","0"
"2","50","0","1","10","581.9999999999999","581.9999999999999","0","0","0"
"7","50","0.05","1","11","528.1","528.1","0","0","0"
"5","50","0","1","8","318.99999999999994","318.99999999999994","0","0","0"
"4","50","0","1","8","412","412","0","0","0"
"8","50","0.05","1","11","410.65","410.65","0","0","0"
"6","50","0.05","1","8","405.80000000000007","405.80000000000007","0","0","0"
"7","50","0.05","1","12","532.55","532.55","0","0","0"
"2","50","0","1","11","585.9999999999999","585.9999999999999","0","0","0"
"3","50","0","1","13","825.0000000000002","825.0000000000002","0","0","0"
"4","50","0","1","9","417.9999999999999","417.9999999999999","0","0","0"
"5","50","0","1","9","445.99999999999994","445.99999999999994","0","0","0"
"8","50","0.05","1","12","415.20000000000005","415.20000000000005","0","0","0"
"3","50","0","1","14","870.0000000000005","870.0000000000005","0","0","0"
"2","50","0","1","12","672.0000000000001","672.0000000000001","0","0","0"
"1","50","0","1","7","322","322","0","0","0"
"7","50","0.05","1","13","534.9999999999999","534.9999999999999","0","0","0"
"4","50","0","1","10","423.9999999999999","423.9999999999999","0","0","0"
"5","50","0","1","10","489.99999999999994","489.99999999999994","0","0","0"
"3","50","0","1","15","913.0000000000001","913.0000000000001","0","0","0"
"2","50","0","1","13","672","672","0","0","0"
"8","50","0.05","1","13","462.9","462.9","0","0","0"
"5","50","0","1","11","497.00000000000006","497.00000000000006","0","0","0"
"4","50","0","1","11","426.9999999999999","426.9999999999999","0","0","0"
"3","50","0","1","16","917","917","0","0","0"
"6","50","0.05","1","9","449.2","449.2","0","0","0"
"8","50","0.05","1","14","509.1000000000001","509.1000000000001","0","0","0"
"2","50","0","1","14","802","802","0","0","0"
"7","50","0.05","1","14","537.3","537.3","0","0","0"
"5","50","0","1","12","501.9999999999999","501.9999999999999","0","0","0"
"4","50","0","1","12","470.99999999999994","470.99999999999994","0","0","0"
"3","50","0","1","17","959","959","0","0","0"
"2","50","0","1","15","885.0000000000001","885.0000000000001","0","0","0"
"7","50","0.05","1","15","541.8500000000001","541.8500000000001","0","0","0"
"6","50","0.05","1","10","453.8","453.8","0","0","0"
"1","50","0","1","8","366.99999999999994","366.99999999999994","0","0","0"
"5","50","0","1","13","547.9999999999999","547.9999999999999","0","0","0"
"4","50","0","1","13","517","517","0","0","0"
"6","50","0.05","1","11","503.45","503.45","0","0","0"
"2","50","0","1","16","977.0000000000001","977.0000000000001","0","0","0"
"8","50","0.05","1","15","557.3499999999998","557.3499999999998","0","0","0"
"5","50","0","1","14","592","592","0","0","0"
"1","50","0","1","9","374","374","0","0","0"
"4","50","0","1","14","522","522","0","0","0"
"3","50","0","1","18","965.0000000000003","965.0000000000003","0","0","0"
"7","50","0.05","1","16","621.0500000000001","621.0500000000001","0","0","0"
"5","50","0","1","15","639.0000000000001","639.0000000000001","0","0","0"
"6","50","0.05","1","12","543.6499999999999","543.6499999999999","0","0","0"
"2","50","0","1","17","981.9999999999999","981.9999999999999","0","0","0"
"1","50","0","1","10","416.99999999999994","416.99999999999994","0","0","0"
"8","50","0.05","1","16","598.2499999999998","598.2499999999998","0","0","0"
"4","50","0","1","15","529","529","0","0","0"
"7","50","0.05","1","17","662.4000000000002","662.4000000000002","0","0","0"
"3","50","0","1","19","1086.9999999999998","1086.9999999999998","0","0","0"
"6","50","0.05","1","13","590.75","590.75","0","0","0"
"2","50","0","1","18","1109","1109","0","0","0"
"1","50","0","1","11","463.0000000000001","463.0000000000001","0","0","0"
"5","50","0","1","16","722","722","0","0","0"
"8","50","0.05","1","17","643.5000000000002","643.5000000000002","0","0","0"
"3","50","0","1","20","1086.9999999999998","1086.9999999999998","0","0","0"
"7","50","0.05","1","18","663.8","663.8","0","0","0"
"2","50","0","1","19","1109","1109","0","0","0"
"6","50","0.05","1","14","635.1499999999999","635.1499999999999","0","0","0"
"4","50","0","1","16","575.0000000000001","575.0000000000001","0","0","0"
"8","50","0.05","1","18","652.6999999999999","652.6999999999999","0","0","0"
"7","50","0.05","1","19","667.1999999999999","667.1999999999999","0","0","0"
"2","50","0","1","20","1121","1121","0","0","0"
"1","50","0","1","12","510.99999999999994","510.99999999999994","0","0","0"
"5","50","0","1","17","722.9999999999998","722.9999999999998","0","0","0"
"2","50","0","1","21","1165.9999999999998","1165.9999999999998","0","0","0"
"4","50","0","1","17","661.0000000000001","661.0000000000001","0","0","0"
"7","50","0.05","1","20","668.7499999999999","668.7499999999999","0","0","0"
"1","50","0","1","13","557.0000000000001","557.0000000000001","0","0","0"
"3","50","0","1","21","1132.0000000000002","1132.0000000000002","0","0","0"
"2","50","0","1","22","1294","1294","0","0","0"
"5","50","0","1","18","728.0000000000001","728.0000000000001","0","0","0"
"7","50","0.05","1","21","673.2499999999999","673.2499999999999","0","0","0"
"2","50","0","1","23","1296.9999999999998","1296.9999999999998","0","0","0"
"6","50","0.05","1","15","636.6000000000003","636.6000000000003","0","0","0"
"3","50","0","1","22","1256","1256","0","0","0"
"5","50","0","1","19","773.0000000000001","773.0000000000001","0","0","0"
"8","50","0.05","1","19","659.1","659.1","0","0","0"
"2","50","0","1","24","1306","1306","0","0","0"
"3","50","0","1","23","1382.9999999999998","1382.9999999999998","0","0","0"
"6","50","0.05","1","16","681.2","681.2","0","0","0"
"4","50","0","1","18","709.9999999999998","709.9999999999998","0","0","0"
"7","50","0.05","1","22","714.6500000000001","714.6500000000001","0","0","0"
"8","50","0.05","1","20","702.2500000000001","702.2500000000001","0","0","0"
"2","50","0","1","25","1350.9999999999998","1350.9999999999998","0","0","0"
"3","50","0","1","24","1427.0000000000005","1427.0000000000005","0","0","0"
"4","50","0","1","19","713.9999999999999","713.9999999999999","0","0","0"
"5","50","0","1","20","858","858","0","0","0"
