"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/01/2018 08:03:16:915 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"5","50","0","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"6","50","0.05","1","0","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0","0"
"1","50","0","1","0","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"7","50","0.05","1","0","0","0","0","0","0"
"6","50","0.05","1","1","100.99999999999999","100.99999999999999","0","0","0"
"3","50","0","1","1","57.999999999999986","57.999999999999986","0","0","0"
"5","50","0","1","1","54.00000000000002","54.00000000000002","0","0","0"
"2","50","0","1","1","16","16","0","0","0"
"3","50","0","1","2","141.99999999999997","141.99999999999997","0","0","0"
"5","50","0","1","2","174.99999999999994","174.99999999999994","0","0","0"
"7","50","0.05","1","1","55.999999999999986","55.999999999999986","0","0","0"
"3","50","0","1","3","184.00000000000006","184.00000000000006","0","0","0"
"8","50","0.05","1","1","16","16","0","0","0"
"7","50","0.05","1","2","56.25000000000003","56.25000000000003","0","0","0"
"4","50","0","1","1","61.99999999999998","61.99999999999998","0","0","0"
"1","50","0","1","1","21","21","0","0","0"
"6","50","0.05","1","2","142.35","142.35","0","0","0"
"3","50","0","1","4","186.00000000000009","186.00000000000009","0","0","0"
"2","50","0","1","2","16","16","0","0","0"
"8","50","0.05","1","2","95.60000000000005","95.60000000000005","0","0","0"
"5","50","0","1","3","216","216","0","0","0"
"7","50","0.05","1","3","95.99999999999994","95.99999999999994","0","0","0"
"3","50","0","1","5","188.00000000000003","188.00000000000003","0","0","0"
"1","50","0","1","2","62.00000000000002","62.00000000000002","0","0","0"
"2","50","0","1","3","17","17","0","0","0"
"4","50","0","1","2","144.00000000000003","144.00000000000003","0","0","0"
"7","50","0.05","1","4","96.84999999999998","96.84999999999998","0","0","0"
"5","50","0","1","4","218.00000000000003","218.00000000000003","0","0","0"
"3","50","0","1","6","229.99999999999994","229.99999999999994","0","0","0"
"6","50","0.05","1","3","144.69999999999996","144.69999999999996","0","0","0"
"5","50","0","1","5","220.00000000000003","220.00000000000003","0","0","0"
"1","50","0","1","3","102.99999999999997","102.99999999999997","0","0","0"
"7","50","0.05","1","5","97.84999999999997","97.84999999999997","0","0","0"
"6","50","0.05","1","4","146.65","146.65","0","0","0"
"2","50","0","1","4","59.00000000000003","59.00000000000003","0","0","0"
"5","50","0","1","6","222","222","0","0","0"
"4","50","0","1","3","184.99999999999994","184.99999999999994","0","0","0"
"8","50","0.05","1","3","136.2500000000001","136.2500000000001","0","0","0"
"7","50","0.05","1","6","138.8500000000001","138.8500000000001","0","0","0"
"6","50","0.05","1","5","188.64999999999995","188.64999999999995","0","0","0"
"5","50","0","1","7","224","224","0","0","0"
"3","50","0","1","7","231.99999999999991","231.99999999999991","0","0","0"
"4","50","0","1","4","225.99999999999991","225.99999999999991","0","0","0"
"2","50","0","1","5","61.00000000000003","61.00000000000003","0","0","0"
"5","50","0","1","8","265.9999999999999","265.9999999999999","0","0","0"
"3","50","0","1","8","234","234","0","0","0"
"6","50","0.05","1","6","230.6499999999998","230.6499999999998","0","0","0"
"8","50","0.05","1","4","139.1500000000001","139.1500000000001","0","0","0"
"7","50","0.05","1","7","179.85","179.85","0","0","0"
"5","50","0","1","9","347.9999999999999","347.9999999999999","0","0","0"
"2","50","0","1","6","103.00000000000006","103.00000000000006","0","0","0"
"1","50","0","1","4","103.99999999999997","103.99999999999997","0","0","0"
"6","50","0.05","1","7","312.65","312.65","0","0","0"
"8","50","0.05","1","5","142.1500000000001","142.1500000000001","0","0","0"
"7","50","0.05","1","8","300.85","300.85","0","0","0"
"5","50","0","1","10","349.99999999999994","349.99999999999994","0","0","0"
"3","50","0","1","9","315.99999999999983","315.99999999999983","0","0","0"
"6","50","0.05","1","8","434.65000000000003","434.65000000000003","0","0","0"
"1","50","0","1","5","104.99999999999996","104.99999999999996","0","0","0"
"4","50","0","1","5","267.00000000000006","267.00000000000006","0","0","0"
"7","50","0.05","1","9","341.8499999999999","341.8499999999999","0","0","0"
"5","50","0","1","11","351.9999999999999","351.9999999999999","0","0","0"
"3","50","0","1","10","357.9999999999998","357.9999999999998","0","0","0"
"2","50","0","1","7","144.99999999999997","144.99999999999997","0","0","0"
"6","50","0.05","1","9","436.65","436.65","0","0","0"
"8","50","0.05","1","6","185.15000000000012","185.15000000000012","0","0","0"
"7","50","0.05","1","10","422.85","422.85","0","0","0"
"4","50","0","1","6","268.00000000000006","268.00000000000006","0","0","0"
"5","50","0","1","12","394.00000000000006","394.00000000000006","0","0","0"
"6","50","0.05","1","10","478.6500000000002","478.6500000000002","0","0","0"
"5","50","0","1","13","395.99999999999994","395.99999999999994","0","0","0"
"7","50","0.05","1","11","463.8500000000002","463.8500000000002","0","0","0"
"8","50","0.05","1","7","188.15000000000003","188.15000000000003","0","0","0"
"4","50","0","1","7","349.0000000000001","349.0000000000001","0","0","0"
"1","50","0","1","6","145.99999999999997","145.99999999999997","0","0","0"
"2","50","0","1","8","187.0000000000001","187.0000000000001","0","0","0"
"3","50","0","1","11","400","400","0","0","0"
"5","50","0","1","14","437.99999999999983","437.99999999999983","0","0","0"
"7","50","0.05","1","12","544.85","544.85","0","0","0"
"8","50","0.05","1","8","191.15000000000015","191.15000000000015","0","0","0"
"4","50","0","1","8","350.00000000000006","350.00000000000006","0","0","0"
"3","50","0","1","12","401.9999999999999","401.9999999999999","0","0","0"
"5","50","0","1","15","479.99999999999994","479.99999999999994","0","0","0"
"1","50","0","1","7","147","147","0","0","0"
"6","50","0.05","1","11","480.6500000000002","480.6500000000002","0","0","0"
"2","50","0","1","9","308.9999999999997","308.9999999999997","0","0","0"
"3","50","0","1","13","403.99999999999994","403.99999999999994","0","0","0"
"7","50","0.05","1","13","545.85","545.85","0","0","0"
"5","50","0","1","16","522.0000000000002","522.0000000000002","0","0","0"
"6","50","0.05","1","12","522.65","522.65","0","0","0"
"7","50","0.05","1","14","586.8499999999999","586.8499999999999","0","0","0"
"8","50","0.05","1","9","194.1500000000001","194.1500000000001","0","0","0"
"6","50","0.05","1","13","604.6500000000001","604.6500000000001","0","0","0"
"1","50","0","1","8","148","148","0","0","0"
"4","50","0","1","9","351.0000000000001","351.0000000000001","0","0","0"
"3","50","0","1","14","405.99999999999994","405.99999999999994","0","0","0"
"2","50","0","1","10","310.9999999999997","310.9999999999997","0","0","0"
"8","50","0.05","1","10","237.14999999999998","237.14999999999998","0","0","0"
"7","50","0.05","1","15","627.85","627.85","0","0","0"
"6","50","0.05","1","14","606.65","606.65","0","0","0"
"1","50","0","1","9","149","149","0","0","0"
"2","50","0","1","11","312.9999999999997","312.9999999999997","0","0","0"
"5","50","0","1","17","564","564","0","0","0"
"8","50","0.05","1","11","360.1499999999999","360.1499999999999","0","0","0"
"1","50","0","1","10","229.99999999999997","229.99999999999997","0","0","0"
"5","50","0","1","18","565.9999999999999","565.9999999999999","0","0","0"
"4","50","0","1","10","352.0000000000001","352.0000000000001","0","0","0"
"2","50","0","1","12","434.99999999999983","434.99999999999983","0","0","0"
"3","50","0","1","15","447.99999999999983","447.99999999999983","0","0","0"
"8","50","0.05","1","12","443.14999999999986","443.14999999999986","0","0","0"
"6","50","0.05","1","15","648.6499999999999","648.6499999999999","0","0","0"
"1","50","0","1","11","311","311","0","0","0"
"5","50","0","1","19","567.9999999999998","567.9999999999998","0","0","0"
"7","50","0.05","1","16","668.8500000000001","668.8500000000001","0","0","0"
"3","50","0","1","16","570.0000000000001","570.0000000000001","0","0","0"
"6","50","0.05","1","16","690.65","690.65","0","0","0"
"8","50","0.05","1","13","486.1499999999999","486.1499999999999","0","0","0"
"5","50","0","1","20","690","690","0","0","0"
"1","50","0","1","12","352.00000000000006","352.00000000000006","0","0","0"
"6","50","0.05","1","17","812.6499999999999","812.6499999999999","0","0","0"
"2","50","0","1","13","436.99999999999983","436.99999999999983","0","0","0"
"5","50","0","1","21","731.9999999999999","731.9999999999999","0","0","0"
"3","50","0","1","17","572.0000000000001","572.0000000000001","0","0","0"
"8","50","0.05","1","14","529.15","529.15","0","0","0"
"7","50","0.05","1","17","749.8500000000006","749.8500000000006","0","0","0"
"6","50","0.05","1","18","854.6499999999997","854.6499999999997","0","0","0"
"2","50","0","1","14","438.9999999999998","438.9999999999998","0","0","0"
"1","50","0","1","13","353","353","0","0","0"
"8","50","0.05","1","15","532.1500000000001","532.1500000000001","0","0","0"
"7","50","0.05","1","18","790.8500000000004","790.8500000000004","0","0","0"
"4","50","0","1","11","433","433","0","0","0"
"6","50","0.05","1","19","936.6499999999999","936.6499999999999","0","0","0"
"1","50","0","1","14","394.00000000000006","394.00000000000006","0","0","0"
"8","50","0.05","1","16","535.1500000000001","535.1500000000001","0","0","0"
"2","50","0","1","15","480.99999999999994","480.99999999999994","0","0","0"
"7","50","0.05","1","19","831.8499999999996","831.8499999999996","0","0","0"
"6","50","0.05","1","20","1058.65","1058.65","0","0","0"
"5","50","0","1","22","733.9999999999999","733.9999999999999","0","0","0"
"3","50","0","1","18","693.9999999999999","693.9999999999999","0","0","0"
"8","50","0.05","1","17","658.1500000000001","658.1500000000001","0","0","0"
"6","50","0.05","1","21","1180.65","1180.65","0","0","0"
"7","50","0.05","1","20","832.8500000000003","832.8500000000003","0","0","0"
"4","50","0","1","12","433.99999999999994","433.99999999999994","0","0","0"
"2","50","0","1","16","482.99999999999983","482.99999999999983","0","0","0"
"7","50","0.05","1","21","913.8499999999995","913.8499999999995","0","0","0"
"8","50","0.05","1","18","661.15","661.15","0","0","0"
"2","50","0","1","17","484.99999999999994","484.99999999999994","0","0","0"
"3","50","0","1","19","736","736","0","0","0"
"5","50","0","1","23","776.0000000000001","776.0000000000001","0","0","0"
"1","50","0","1","15","434.99999999999983","434.99999999999983","0","0","0"
"6","50","0.05","1","22","1182.65","1182.65","0","0","0"
"4","50","0","1","13","474.9999999999997","474.9999999999997","0","0","0"
"7","50","0.05","1","22","914.8499999999996","914.8499999999996","0","0","0"
"8","50","0.05","1","19","664.15","664.15","0","0","0"
"6","50","0.05","1","23","1224.6499999999994","1224.6499999999994","0","0","0"
"3","50","0","1","20","738.0000000000001","738.0000000000001","0","0","0"
"1","50","0","1","16","555.9999999999999","555.9999999999999","0","0","0"
"7","50","0.05","1","23","955.8499999999998","955.8499999999998","0","0","0"
"4","50","0","1","14","475.99999999999966","475.99999999999966","0","0","0"
"6","50","0.05","1","24","1226.6500000000003","1226.6500000000003","0","0","0"
"5","50","0","1","24","778.0000000000002","778.0000000000002","0","0","0"
"1","50","0","1","17","557","557","0","0","0"
"7","50","0.05","1","24","996.8499999999998","996.8499999999998","0","0","0"
"3","50","0","1","21","740","740","0","0","0"
"2","50","0","1","18","486.9999999999999","486.9999999999999","0","0","0"
"8","50","0.05","1","20","667.1500000000001","667.1500000000001","0","0","0"
"5","50","0","1","25","820.0000000000002","820.0000000000002","0","0","0"
"2","50","0","1","19","529","529","0","0","0"
"4","50","0","1","15","476.9999999999997","476.9999999999997","0","0","0"
"7","50","0.05","1","25","997.8499999999999","997.8499999999999","0","0","0"
"3","50","0","1","22","742.0000000000002","742.0000000000002","0","0","0"
"6","50","0.05","1","25","1268.65","1268.65","0","0","0"
"1","50","0","1","18","637.9999999999998","637.9999999999998","0","0","0"
"2","50","0","1","20","531","531","0","0","0"
"4","50","0","1","16","477.9999999999998","477.9999999999998","0","0","0"
"7","50","0.05","1","26","1038.8500000000001","1038.8500000000001","0","0","0"
"6","50","0.05","1","26","1310.6499999999999","1310.6499999999999","0","0","0"
"3","50","0","1","23","864.0000000000005","864.0000000000005","0","0","0"
"1","50","0","1","19","639","639","0","0","0"
"2","50","0","1","21","653","653","0","0","0"
"8","50","0.05","1","21","710.1500000000001","710.1500000000001","0","0","0"
"7","50","0.05","1","27","1039.8500000000006","1039.8500000000006","0","0","0"
"6","50","0.05","1","27","1352.6499999999996","1352.6499999999996","0","0","0"
"4","50","0","1","17","518.9999999999999","518.9999999999999","0","0","0"
"5","50","0","1","26","822","822","0","0","0"
"2","50","0","1","22","734.9999999999998","734.9999999999998","0","0","0"
"8","50","0.05","1","22","753.1500000000003","753.1500000000003","0","0","0"
"7","50","0.05","1","28","1080.8500000000006","1080.8500000000006","0","0","0"
"3","50","0","1","24","866.0000000000005","866.0000000000005","0","0","0"
"6","50","0.05","1","28","1434.649999999999","1434.649999999999","0","0","0"
"5","50","0","1","27","823.9999999999998","823.9999999999998","0","0","0"
"1","50","0","1","20","719.9999999999999","719.9999999999999","0","0","0"
"2","50","0","1","23","736.9999999999997","736.9999999999997","0","0","0"
"8","50","0.05","1","23","796.1500000000002","796.1500000000002","0","0","0"
"7","50","0.05","1","29","1121.8499999999997","1121.8499999999997","0","0","0"
"6","50","0.05","1","29","1476.6499999999992","1476.6499999999992","0","0","0"
"4","50","0","1","18","560","560","0","0","0"
"5","50","0","1","28","825.9999999999998","825.9999999999998","0","0","0"
"8","50","0.05","1","24","799.1500000000003","799.1500000000003","0","0","0"
"2","50","0","1","24","818.9999999999994","818.9999999999994","0","0","0"
"3","50","0","1","25","868.0000000000006","868.0000000000006","0","0","0"
"1","50","0","1","21","801.0000000000002","801.0000000000002","0","0","0"
"7","50","0.05","1","30","1162.8500000000004","1162.8500000000004","0","0","0"
"5","50","0","1","29","828","828","0","0","0"
"4","50","0","1","19","601","601","0","0","0"
"8","50","0.05","1","25","882.1500000000002","882.1500000000002","0","0","0"
"2","50","0","1","25","860.9999999999992","860.9999999999992","0","0","0"
"6","50","0.05","1","30","1518.6499999999999","1518.6499999999999","0","0","0"
"5","50","0","1","30","829.9999999999999","829.9999999999999","0","0","0"
"8","50","0.05","1","26","885.15","885.15","0","0","0"
"3","50","0","1","26","870.0000000000002","870.0000000000002","0","0","0"
"2","50","0","1","26","902.9999999999993","902.9999999999993","0","0","0"
"4","50","0","1","20","641.9999999999997","641.9999999999997","0","0","0"
"6","50","0.05","1","31","1640.6499999999999","1640.6499999999999","0","0","0"
"7","50","0.05","1","31","1163.8499999999995","1163.8499999999995","0","0","0"
"5","50","0","1","31","871.9999999999999","871.9999999999999","0","0","0"
"1","50","0","1","22","922.0000000000002","922.0000000000002","0","0","0"
"4","50","0","1","21","683.0000000000001","683.0000000000001","0","0","0"
"2","50","0","1","27","904.9999999999993","904.9999999999993","0","0","0"
"7","50","0.05","1","32","1284.8500000000004","1284.8500000000004","0","0","0"
"3","50","0","1","27","912.0000000000002","912.0000000000002","0","0","0"
"5","50","0","1","32","993.9999999999997","993.9999999999997","0","0","0"
"8","50","0.05","1","27","1008.1500000000003","1008.1500000000003","0","0","0"
"6","50","0.05","1","32","1642.6499999999999","1642.6499999999999","0","0","0"
"7","50","0.05","1","33","1325.8500000000004","1325.8500000000004","0","0","0"
"4","50","0","1","22","764","764","0","0","0"
"1","50","0","1","23","1042.9999999999998","1042.9999999999998","0","0","0"
"3","50","0","1","28","954","954","0","0","0"
"2","50","0","1","28","946.9999999999993","946.9999999999993","0","0","0"
"8","50","0.05","1","28","1011.1500000000002","1011.1500000000002","0","0","0"
"5","50","0","1","33","1075.9999999999998","1075.9999999999998","0","0","0"
"7","50","0.05","1","34","1366.8500000000004","1366.8500000000004","0","0","0"
"3","50","0","1","29","955.9999999999999","955.9999999999999","0","0","0"
"2","50","0","1","29","948.9999999999994","948.9999999999994","0","0","0"
"4","50","0","1","23","804.9999999999997","804.9999999999997","0","0","0"
"8","50","0.05","1","29","1054.1500000000003","1054.1500000000003","0","0","0"
"1","50","0","1","24","1164.0000000000005","1164.0000000000005","0","0","0"
"6","50","0.05","1","33","1644.6499999999994","1644.6499999999994","0","0","0"
"3","50","0","1","30","1038","1038","0","0","0"
"2","50","0","1","30","1071.0000000000002","1071.0000000000002","0","0","0"
"4","50","0","1","24","845.9999999999997","845.9999999999997","0","0","0"
"7","50","0.05","1","35","1407.8499999999997","1407.8499999999997","0","0","0"
"1","50","0","1","25","1205","1205","0","0","0"
"5","50","0","1","34","1118.0000000000002","1118.0000000000002","0","0","0"
"3","50","0","1","31","1039.9999999999998","1039.9999999999998","0","0","0"
"2","50","0","1","31","1193","1193","0","0","0"
"4","50","0","1","25","927.0000000000001","927.0000000000001","0","0","0"
"6","50","0.05","1","34","1646.6499999999994","1646.6499999999994","0","0","0"
"1","50","0","1","26","1206","1206","0","0","0"
"5","50","0","1","35","1160","1160","0","0","0"
"3","50","0","1","32","1042","1042","0","0","0"
"2","50","0","1","32","1315.0000000000002","1315.0000000000002","0","0","0"
"4","50","0","1","26","1048.0000000000002","1048.0000000000002","0","0","0"
"2","50","0","1","33","1317","1317","0","0","0"
"1","50","0","1","27","1207","1207","0","0","0"
"3","50","0","1","33","1043.9999999999998","1043.9999999999998","0","0","0"
"4","50","0","1","27","1089.0000000000007","1089.0000000000007","0","0","0"
"8","50","0.05","1","30","1097.1500000000008","1097.1500000000008","0","0","0"
"6","50","0.05","1","35","1688.6500000000003","1688.6500000000003","0","0","0"
"7","50","0.05","1","36","1528.8500000000008","1528.8500000000008","0","0","0"
"3","50","0","1","34","1086.0000000000005","1086.0000000000005","0","0","0"
"1","50","0","1","28","1328","1328","0","0","0"
"5","50","0","1","36","1281.9999999999998","1281.9999999999998","0","0","0"
"2","50","0","1","34","1319","1319","0","0","0"
"8","50","0.05","1","31","1140.1499999999996","1140.1499999999996","0","0","0"
"6","50","0.05","1","36","1690.6499999999994","1690.6499999999994","0","0","0"
"3","50","0","1","35","1128.0000000000007","1128.0000000000007","0","0","0"
"7","50","0.05","1","37","1649.85","1649.85","0","0","0"
"1","50","0","1","29","1329.0000000000005","1329.0000000000005","0","0","0"
"4","50","0","1","28","1090.0000000000011","1090.0000000000011","0","0","0"
"8","50","0.05","1","32","1263.15","1263.15","0","0","0"
"2","50","0","1","35","1321","1321","0","0","0"
"6","50","0.05","1","37","1732.65","1732.65","0","0","0"
"5","50","0","1","37","1323.9999999999995","1323.9999999999995","0","0","0"
"7","50","0.05","1","38","1650.8499999999997","1650.8499999999997","0","0","0"
"6","50","0.05","1","38","1774.6499999999999","1774.6499999999999","0","0","0"
"8","50","0.05","1","33","1266.1499999999996","1266.1499999999996","0","0","0"
"2","50","0","1","36","1323.0000000000002","1323.0000000000002","0","0","0"
"5","50","0","1","38","1366","1366","0","0","0"
"7","50","0.05","1","39","1771.8499999999992","1771.8499999999992","0","0","0"
"4","50","0","1","29","1091.000000000001","1091.000000000001","0","0","0"
"8","50","0.05","1","34","1309.1499999999992","1309.1499999999992","0","0","0"
"2","50","0","1","37","1364.9999999999995","1364.9999999999995","0","0","0"
