"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/01/2018 08:04:47:073 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"2","50","0","1","0","0","0","0","0"
"6","50","0.05","1","0","0","0","0","0"
"2","50","0","1","1","103","23","17","10"
"4","50","0","1","0","0","0","0","0"
"1","50","0","1","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0"
"5","50","0","1","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0"
"6","50","0.05","1","1","18","18","21","11"
"2","50","0","1","2","104","1","26","23"
"3","50","0","1","1","136","16","17","17"
"7","50","0.05","1","0","0","0","0","0"
"2","50","0","1","3","104","0","21","29"
"6","50","0.05","1","2","136.35000000000002","0","21","29"
"4","50","0","1","1","96.99999999999997","17","16","17"
"5","50","0","1","1","23","23","14","13"
"2","50","0","1","4","144.99999999999994","1","22","27"
"8","50","0.05","1","1","9","9","23","18"
"6","50","0.05","1","3","256.65000000000003","1","24","25"
"7","50","0.05","1","1","11","11","15","24"
"2","50","0","1","5","265.99999999999994","1","22","27"
"1","50","0","1","1","18","18","18","14"
"5","50","0","1","2","143.99999999999997","1","28","21"
"6","50","0.05","1","4","298.5","2","23","25"
"2","50","0","1","6","346.99999999999983","1","22","27"
"8","50","0.05","1","2","48.550000000000026","1","21","28"
"3","50","0","1","2","216.00000000000006","0","24","26"
"2","50","0","1","7","387.99999999999994","1","22","27"
"6","50","0.05","1","5","341.45000000000005","3","23","24"
"8","50","0.05","1","3","48.95000000000001","1","25","24"
"6","50","0.05","1","6","344.4","3","22","25"
"4","50","0","1","2","178","1","23","26"
"7","50","0.05","1","2","9.15","0","23","27"
"2","50","0","1","8","388.99999999999994","1","22","27"
"5","50","0","1","3","145.99999999999997","2","29","19"
"8","50","0.05","1","4","49.75000000000003","1","23","26"
"3","50","0","1","3","337.00000000000006","1","18","31"
"6","50","0.05","1","7","387.34999999999997","3","23","24"
"1","50","0","1","2","19","1","24","25"
"2","50","0","1","9","429.9999999999999","1","22","27"
"5","50","0","1","4","227.99999999999977","2","29","19"
"6","50","0.05","1","8","470.35","3","23","24"
"8","50","0.05","1","5","130.75","1","23","26"
"2","50","0","1","10","470.99999999999966","1","22","27"
"7","50","0.05","1","3","49.00000000000003","0","24","26"
"5","50","0","1","5","229.9999999999998","2","29","19"
"6","50","0.05","1","9","473.3500000000002","3","23","24"
"4","50","0","1","3","222.99999999999997","5","21","24"
"8","50","0.05","1","6","171.74999999999997","1","23","26"
"3","50","0","1","4","379.00000000000006","2","19","29"
"6","50","0.05","1","10","476.3500000000002","3","23","24"
"2","50","0","1","11","592.0000000000005","1","22","27"
"1","50","0","1","3","100.00000000000001","1","28","21"
"5","50","0","1","6","231.99999999999977","2","29","19"
"8","50","0.05","1","7","172.75000000000006","1","23","26"
"3","50","0","1","5","501","2","18","30"
"6","50","0.05","1","11","479.34999999999997","3","23","24"
"2","50","0","1","12","593.0000000000003","1","22","27"
"4","50","0","1","4","309.99999999999994","7","22","21"
"8","50","0.05","1","8","213.74999999999997","1","23","26"
"6","50","0.05","1","12","522.35","3","23","24"
"5","50","0","1","7","353.9999999999999","2","29","19"
"1","50","0","1","4","142","2","28","20"
"2","50","0","1","13","594.0000000000006","1","22","27"
"3","50","0","1","6","503","2","19","29"
"7","50","0.05","1","4","49.95","1","24","25"
"6","50","0.05","1","13","525.3499999999999","3","23","24"
"8","50","0.05","1","9","254.74999999999997","1","23","26"
"2","50","0","1","14","595.0000000000006","1","22","27"
"3","50","0","1","7","545.0000000000001","2","18","30"
"6","50","0.05","1","14","528.3499999999999","3","23","24"
"1","50","0","1","5","143.99999999999994","2","27","21"
"2","50","0","1","15","716.0000000000002","1","22","27"
"5","50","0","1","8","395.9999999999999","2","29","19"
"6","50","0.05","1","15","571.3499999999998","3","23","24"
"3","50","0","1","8","587.0000000000002","2","19","29"
"7","50","0.05","1","5","90.95000000000003","1","24","25"
"2","50","0","1","16","756.9999999999997","1","22","27"
"4","50","0","1","5","357.00000000000017","7","20","23"
"8","50","0.05","1","10","295.75","1","23","26"
"1","50","0","1","6","186","2","28","20"
"6","50","0.05","1","16","614.3499999999998","3","23","24"
"2","50","0","1","17","757.9999999999997","1","22","27"
"3","50","0","1","9","669","2","18","30"
"4","50","0","1","6","405","8","21","21"
"6","50","0.05","1","17","617.3499999999998","3","23","24"
"5","50","0","1","9","437.9999999999999","2","29","19"
"8","50","0.05","1","11","296.74999999999994","1","23","26"
"2","50","0","1","18","799.0000000000001","1","22","27"
"3","50","0","1","10","671","2","19","29"
"7","50","0.05","1","6","91.95000000000002","1","24","25"
"6","50","0.05","1","18","660.3499999999999","3","23","24"
"4","50","0","1","7","450.99999999999994","6","24","20"
"2","50","0","1","19","919.9999999999992","1","22","27"
"8","50","0.05","1","12","297.7500000000001","1","23","26"
"1","50","0","1","7","187.99999999999991","2","27","21"
"3","50","0","1","11","713.0000000000001","2","18","30"
"6","50","0.05","1","19","783.3499999999999","3","23","24"
"2","50","0","1","20","1041.0000000000005","1","22","27"
"5","50","0","1","10","519.9999999999999","2","29","19"
"7","50","0.05","1","7","212.95","1","24","25"
"4","50","0","1","8","498","7","20","23"
"3","50","0","1","12","795","2","19","29"
"6","50","0.05","1","20","826.3500000000003","3","23","24"
"8","50","0.05","1","13","298.75000000000006","1","23","26"
"2","50","0","1","21","1081.9999999999998","1","22","27"
"7","50","0.05","1","8","333.95000000000005","1","24","25"
"1","50","0","1","8","190.00000000000003","2","28","20"
"5","50","0","1","11","562.0000000000001","2","29","19"
"3","50","0","1","13","797","2","18","30"
"4","50","0","1","9","546","8","21","21"
"8","50","0.05","1","14","419.74999999999994","1","23","26"
"2","50","0","1","22","1123.0000000000007","1","22","27"
