"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:53:08:912 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"1","50","0","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0"
"4","50","0","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0","0"
"8","50","0.05","0","0","0","0","0","0"
"2","50","0","0","0","0","0","0","0"
"7","50","0.05","0","0","0","0","0","0"
"5","50","0","0","1","94","14","16","20"
"1","50","0","0","1","49.99999999999999","10","24","16"
"6","50","0.05","0","0","0","0","0","0"
"4","50","0","0","1","60.00000000000002","20","19","11"
"8","50","0.05","0","1","11","11","22","17"
"4","50","0","0","2","100.00000000000004","0","28","22"
"3","50","0","0","1","17","17","13","20"
"5","50","0","0","2","214.00000000000017","0","26","24"
"1","50","0","0","2","90.00000000000004","0","23","27"
"7","50","0.05","0","1","60.99999999999998","21","14","15"
"8","50","0.05","0","2","49.699999999999996","0","28","22"
"3","50","0","0","2","56.999999999999986","0","24","26"
"2","50","0","0","1","56.99999999999999","17","18","15"
"6","50","0.05","0","1","17","17","20","13"
"7","50","0.05","0","2","100.40000000000005","1","29","20"
"2","50","0","0","2","137.00000000000006","0","22","28"
"5","50","0","0","3","347.0000000000001","13","15","22"
"8","50","0.05","0","3","54.350000000000016","6","17","27"
"6","50","0.05","0","2","16.44999999999999","1","26","23"
"4","50","0","0","3","227.99999999999997","8","14","28"
"1","50","0","0","3","138.00000000000006","8","29","13"
"3","50","0","0","3","106.00000000000003","9","20","21"
"8","50","0.05","0","4","99.60000000000001","7","40","3"
"4","50","0","0","4","348.99999999999994","1","45","4"
"5","50","0","0","4","347","0","38","12"
"8","50","0.05","0","5","104.45","7","5","38"
"2","50","0","0","3","144.00000000000009","7","25","18"
"7","50","0.05","0","3","222.15000000000012","3","13","34"
"6","50","0.05","0","3","60.10000000000003","5","19","26"
"3","50","0","0","4","233.0000000000001","7","26","17"
"1","50","0","0","4","180.99999999999997","3","3","44"
"4","50","0","0","5","361","12","11","27"
"5","50","0","0","5","397","10","5","35"
"8","50","0.05","0","6","192.5","10","28","12"
"1","50","0","0","5","186.99999999999997","6","28","16"
"7","50","0.05","0","4","301.3499999999999","1","43","6"
"4","50","0","0","6","484.0000000000001","3","27","20"
"2","50","0","0","4","271.99999999999994","8","11","31"
"3","50","0","0","5","278.0000000000001","5","4","41"
"6","50","0.05","0","4","110.75000000000004","12","34","4"
"5","50","0","0","6","399.00000000000006","2","36","12"
"8","50","0.05","0","7","234.65","4","15","31"
"4","50","0","0","7","536.0000000000002","12","16","22"
"1","50","0","0","6","235.00000000000003","8","18","24"
"3","50","0","0","6","330.0000000000001","12","32","6"
"6","50","0.05","0","5","155.40000000000006","7","6","37"
"2","50","0","0","5","354.99999999999994","3","43","4"
"7","50","0.05","0","5","305.34999999999997","6","9","35"
"5","50","0","0","7","415.00000000000006","16","9","25"
"4","50","0","0","8","537","1","29","20"
"8","50","0.05","0","8","243.64999999999992","11","29","10"
"6","50","0.05","0","6","203.49999999999997","10","26","14"
"3","50","0","0","7","376.00000000000006","6","24","20"
"2","50","0","0","6","405.0000000000001","10","14","26"
"1","50","0","0","7","284.9999999999999","10","26","14"
"7","50","0.05","0","6","392.4","9","28","13"
"4","50","0","0","9","551.0000000000001","14","10","26"
"5","50","0","0","8","460.0000000000001","5","28","17"
"8","50","0.05","0","9","287.70000000000005","6","14","30"
"6","50","0.05","0","7","209.74999999999997","8","16","26"
"3","50","0","0","8","437.00000000000006","21","12","17"
"2","50","0","0","7","491.0000000000001","6","29","15"
"7","50","0.05","0","7","437.6499999999999","7","14","29"
"1","50","0","0","8","408","3","13","34"
"4","50","0","0","10","636","5","32","13"
"5","50","0","0","9","587","7","13","30"
"2","50","0","0","8","501.99999999999994","11","9","30"
"6","50","0.05","0","8","213.15","5","35","10"
"3","50","0","0","9","557","0","30","20"
"8","50","0.05","0","10","293.74999999999994","8","26","16"
"4","50","0","0","11","688.9999999999999","13","7","30"
"7","50","0.05","0","8","480.65","5","35","10"
"1","50","0","0","9","458.0000000000001","10","29","11"
"2","50","0","0","9","506","4","33","13"
"6","50","0.05","0","9","265.1","14","5","31"
"4","50","0","0","12","701","12","24","14"
"5","50","0","0","10","676.9999999999999","10","28","12"
"7","50","0.05","0","9","530.7","12","13","25"
"8","50","0.05","0","11","421.95","10","19","21"
"4","50","0","0","13","707","6","16","28"
"2","50","0","0","10","601.9999999999999","16","14","20"
"3","50","0","0","10","694.0000000000002","17","12","21"
"7","50","0.05","0","10","575.7500000000001","7","19","24"
"6","50","0.05","0","10","309.29999999999995","6","25","19"
"5","50","0","0","11","681","4","10","36"
"8","50","0.05","0","12","467.3999999999999","7","18","25"
"4","50","0","0","14","753","6","35","9"
"1","50","0","0","10","503","5","22","23"
"6","50","0.05","0","11","313.55000000000007","6","19","25"
"3","50","0","0","11","699.0000000000003","5","27","18"
"2","50","0","0","11","647.9999999999998","6","28","16"
"4","50","0","0","15","803.9999999999999","11","15","24"
"7","50","0.05","0","11","665.4499999999999","11","33","6"
"8","50","0.05","0","13","478.15000000000003","12","33","5"
"5","50","0","0","12","730.9999999999995","10","22","18"
"6","50","0.05","0","12","325.9000000000001","14","24","12"
"3","50","0","0","12","713.0000000000002","14","14","22"
"2","50","0","0","12","660.9999999999999","13","5","32"
"7","50","0.05","0","12","673.6500000000002","10","7","33"
"8","50","0.05","0","14","486.4000000000001","10","16","24"
"4","50","0","0","16","811.0000000000002","7","23","20"
"1","50","0","0","11","595.0000000000001","12","12","26"
"3","50","0","0","13","760.0000000000002","7","30","13"
"2","50","0","0","13","713.0000000000001","12","27","11"
"5","50","0","0","13","734","3","25","22"
"7","50","0.05","0","13","802.6999999999999","11","21","18"
"6","50","0.05","0","13","445.9500000000001","2","12","36"
"8","50","0.05","0","15","533.1499999999999","8","13","29"
"4","50","0","0","17","869","18","16","16"
"1","50","0","0","12","715.0000000000002","0","38","12"
"5","50","0","0","14","798","24","12","14"
"7","50","0.05","0","14","849.0500000000003","8","31","11"
"3","50","0","0","14","778","18","9","23"
"6","50","0.05","0","14","497.00000000000006","13","26","11"
"4","50","0","0","18","913","4","19","27"
"8","50","0.05","0","16","578.4999999999999","7","41","2"
"1","50","0","0","13","730","15","15","20"
"7","50","0.05","0","15","851.2500000000001","4","4","42"
"2","50","0","0","14","761.0000000000001","8","17","25"
"5","50","0","0","15","930.0000000000002","12","16","22"
"6","50","0.05","0","15","500.05000000000007","5","23","22"
"3","50","0","0","15","783.0000000000001","5","30","15"
"4","50","0","0","19","922.9999999999999","10","27","13"
"7","50","0.05","0","16","862.4999999999999","13","21","16"
"8","50","0.05","0","17","637.7999999999997","21","16","13"
"1","50","0","0","14","777","7","20","23"
"4","50","0","0","20","934.9999999999997","12","14","24"
"6","50","0.05","0","16","507.3499999999999","9","16","25"
"2","50","0","0","15","775","14","16","20"
"3","50","0","0","16","835.0000000000002","12","12","26"
