"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/05/2018 17:04:01:312 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"2","50","0","0","0","0","0","0","0"
"4","50","0","0","0","0","0","0","0"
"1","50","0","0","0","0","0","0","0"
"7","50","0.05","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0","0"
"8","50","0.05","0","0","0","0","0","0"
"2","50","0","0","1","53.000000000000014","13","13","24"
"6","50","0.05","0","0","0","0","0","0"
"1","50","0","0","1","144.00000000000006","24","13","13"
"4","50","0","0","1","137.00000000000006","17","18","15"
"2","50","0","0","2","54.00000000000002","1","20","29"
"7","50","0.05","0","1","137.00000000000009","17","14","19"
"5","50","0","0","1","96.00000000000003","16","15","19"
"4","50","0","0","2","137.00000000000003","0","20","30"
"3","50","0","0","1","57","17","16","17"
"6","50","0.05","0","1","133","13","16","21"
"8","50","0.05","0","1","95.00000000000003","15","16","19"
"2","50","0","0","3","97.00000000000003","3","20","27"
"7","50","0.05","0","2","257.4000000000001","2","22","26"
"5","50","0","0","2","96.00000000000003","0","23","27"
"1","50","0","0","2","144.00000000000006","0","22","28"
"2","50","0","0","4","189.00000000000003","12","21","17"
"8","50","0.05","0","2","214.40000000000003","1","23","26"
"6","50","0.05","0","2","172.54999999999993","1","28","21"
"3","50","0","0","2","57","0","23","27"
"2","50","0","0","5","205","16","17","17"
"4","50","0","0","3","138","1","22","27"
"1","50","0","0","3","266","2","25","23"
"2","50","0","0","6","218.99999999999997","14","9","27"
"4","50","0","0","4","192.99999999999997","15","23","12"
"3","50","0","0","3","58","1","23","26"
"6","50","0.05","0","3","214.2999999999999","2","30","18"
"1","50","0","0","4","396","10","23","17"
"2","50","0","0","7","321","22","12","16"
"4","50","0","0","5","204.99999999999994","12","20","18"
"6","50","0.05","0","4","223.75000000000003","11","22","17"
"3","50","0","0","4","107.99999999999994","10","26","14"
