"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"05/14/2018 22:07:36:339 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"5","50","0","1","0","0","0","0","0"
"7","50","0","1","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0"
"7","50","0","1","1","53.999999999999986","14","24","12"
"8","50","0","1","0","0","0","0","0"
"1","50","0","1","0","0","0","0","0"
"6","50","0","1","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0"
"3","50","0","1","1","134","14","15","21"
"7","50","0","1","2","190.99999999999997","17","19","14"
"7","50","0","1","3","249.9999999999999","19","17","14"
"3","50","0","1","2","194.99999999999991","21","12","17"
"5","50","0","1","1","58","18","16","16"
"3","50","0","1","3","249.99999999999991","15","17","18"
"7","50","0","1","4","308","18","14","18"
"3","50","0","1","4","347.99999999999994","18","10","22"
"4","50","0","1","1","14","14","19","17"
"8","50","0","1","1","13","13","18","19"
"8","50","0","1","2","34","21","16","13"
"6","50","0","1","1","98","18","16","16"
"6","50","0","1","2","159","21","16","13"
"4","50","0","1","2","68","14","23","13"
"6","50","0","1","3","259.00000000000006","20","15","15"
"4","50","0","1","3","87","19","17","14"
"6","50","0","1","4","274.00000000000006","15","14","21"
"5","50","0","1","2","117","19","10","21"
"4","50","0","1","4","145.00000000000006","18","15","17"
"5","50","0","1","3","174.99999999999994","18","15","17"
"2","50","0","1","1","93.00000000000003","13","18","19"
"5","50","0","1","4","228","13","18","19"
"8","50","0","1","3","140","26","17","7"
"8","50","0","1","4","157","17","21","12"
"2","50","0","1","2","110.00000000000004","17","21","12"
"3","50","0","1","5","387.99999999999994","0","50","0"
"2","50","0","1","3","167.00000000000006","17","16","17"
"1","50","0","1","1","53.99999999999999","14","18","18"
"3","50","0","1","6","507.9999999999999","0","6","44"
"2","50","0","1","4","222","15","17","18"
"8","50","0","1","5","157","0","0","50"
"4","50","0","1","5","145","0","0","50"
"3","50","0","1","7","516","8","25","17"
"4","50","0","1","6","184.99999999999997","0","44","6"
"8","50","0","1","6","277.0000000000001","0","42","8"
"3","50","0","1","8","646.0000000000001","10","15","25"
"3","50","0","1","9","665","19","10","21"
"4","50","0","1","7","190.00000000000003","5","28","17"
"8","50","0","1","7","324.00000000000017","7","22","21"
"3","50","0","1","10","665.0000000000001","0","50","0"
"8","50","0","1","8","338.0000000000002","14","17","19"
"3","50","0","1","11","705","0","2","48"
"8","50","0","1","9","349.0000000000002","11","28","11"
"6","50","0","1","5","353.9999999999999","0","38","12"
"3","50","0","1","12","714","9","31","10"
"8","50","0","1","10","349.00000000000017","0","0","50"
"4","50","0","1","8","329.0000000000001","19","16","15"
"6","50","0","1","6","353.99999999999994","0","4","46"
"5","50","0","1","5","268.00000000000006","0","50","0"
"3","50","0","1","13","760.0000000000001","6","14","30"
"8","50","0","1","11","349.0000000000002","0","44","6"
"6","50","0","1","7","399.00000000000017","5","37","8"
"5","50","0","1","6","388.0000000000001","0","10","40"
"4","50","0","1","9","345.0000000000002","16","17","17"
"3","50","0","1","14","781.0000000000001","21","11","18"
"8","50","0","1","12","404.0000000000002","15","18","17"
"5","50","0","1","7","434.00000000000006","6","8","36"
"6","50","0","1","8","488.99999999999983","10","10","30"
"2","50","0","1","5","222.00000000000003","0","9","41"
"3","50","0","1","15","860.9999999999998","0","49","1"
"4","50","0","1","10","345.00000000000006","0","0","50"
"7","50","0","1","5","308.00000000000006","0","0","50"
"5","50","0","1","8","485.00000000000006","11","23","16"
"1","50","0","1","2","153.00000000000006","19","13","18"
"4","50","0","1","11","385.00000000000006","0","44","6"
"6","50","0","1","9","630.0000000000002","21","21","8"
"2","50","0","1","6","222.00000000000003","0","47","3"
"7","50","0","1","6","348","0","49","1"
"3","50","0","1","16","981.0000000000002","0","1","49"
"8","50","0","1","13","411.00000000000034","7","15","28"
"5","50","0","1","9","540.9999999999999","16","17","17"
"7","50","0","1","7","354.00000000000006","6","23","21"
"4","50","0","1","12","430","5","28","17"
"6","50","0","1","10","674","4","30","16"
"1","50","0","1","3","207.00000000000009","14","16","20"
"2","50","0","1","7","309","7","12","31"
"1","50","0","1","4","297.0000000000002","10","22","18"
"3","50","0","1","17","1114.0000000000002","13","32","5"
"8","50","0","1","14","459.99999999999994","9","33","8"
"2","50","0","1","8","408.99999999999994","20","20","10"
"4","50","0","1","13","491","21","14","15"
"7","50","0","1","8","405.00000000000017","11","24","15"
"8","50","0","1","15","461.9999999999999","2","0","48"
"6","50","0","1","11","713.9999999999999","0","3","47"
"5","50","0","1","10","581.0000000000001","0","50","0"
"4","50","0","1","14","545","14","20","16"
"2","50","0","1","9","421.99999999999994","13","19","18"
"6","50","0","1","12","836.9999999999999","3","41","6"
"5","50","0","1","11","586.0000000000001","5","14","31"
"4","50","0","1","15","625","0","0","50"
"8","50","0","1","16","505.00000000000017","3","42","5"
"1","50","0","1","5","416.9999999999999","0","45","5"
"2","50","0","1","10","542.9999999999998","1","4","45"
"3","50","0","1","18","1117.0000000000002","3","16","31"
"6","50","0","1","13","960.0000000000002","3","11","36"
"4","50","0","1","16","746","1","42","7"
"3","50","0","1","19","1138","21","8","21"
"7","50","0","1","9","464.0000000000001","19","13","18"
"2","50","0","1","11","542.9999999999999","0","50","0"
"4","50","0","1","17","792.9999999999998","7","28","15"
"1","50","0","1","6","416.9999999999998","0","1","49"
"7","50","0","1","10","544.0000000000001","0","0","50"
"3","50","0","1","20","1178","0","49","1"
"6","50","0","1","14","1021.0000000000002","21","26","3"
"8","50","0","1","17","560.0000000000002","15","18","17"
"5","50","0","1","12","626.0000000000001","0","6","44"
"2","50","0","1","12","549.9999999999999","7","12","31"
"7","50","0","1","11","544","0","47","3"
"6","50","0","1","15","1071","10","19","21"
"2","50","0","1","13","608","18","21","11"
"4","50","0","1","18","809.9999999999999","17","15","18"
"5","50","0","1","13","680","14","17","19"
"8","50","0","1","18","566.0000000000003","6","12","32"
"1","50","0","1","7","470.99999999999994","14","22","14"
"7","50","0","1","12","591.0000000000001","7","23","20"
"6","50","0","1","16","1198.0000000000005","7","8","35"
"3","50","0","1","21","1178.9999999999998","1","0","49"
