"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure agent variance"
"05/14/2018 23:04:25:507 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","106","0","15"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2","agent-variance"
"6","50","0","0","0","0","0","0","0","0"
"2","50","0","0","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0","0","0"
"7","50","0","0","0","0","0","0","0","0"
"6","50","0","0","1","57.999999999999986","18","15","17","0"
"4","50","0","0","0","0","0","0","0","0"
"8","50","0","0","0","0","0","0","0","0"
"2","50","0","0","1","53","13","16","21","0"
"5","50","0","0","1","56.999999999999986","17","14","19","0"
"6","50","0","0","2","75","17","14","19","0"
"2","50","0","0","2","150.00000000000003","17","19","14","0"
"5","50","0","0","2","116.00000000000001","19","17","14","0"
"5","50","0","0","3","133.00000000000003","17","16","17","0"
"2","50","0","0","3","165.00000000000003","15","20","15","0"
"6","50","0","0","3","136.00000000000003","21","17","12","0"
"5","50","0","0","4","151.00000000000003","18","18","14","0"
"2","50","0","0","4","297","12","16","22","0"
"6","50","0","0","4","148","12","16","22","0"
"8","50","0","0","1","100.00000000000001","20","18","12","0"
"3","50","0","0","1","17","17","19","14","0"
"8","50","0","0","2","197.00000000000003","17","16","17","0"
"3","50","0","0","2","34","17","18","15","0"
"8","50","0","0","3","216.00000000000006","19","14","17","0"
"3","50","0","0","3","49","15","17","18","0"
"2","50","0","0","5","337","0","26","24","0"
"8","50","0","0","4","308","12","18","20","0"
"3","50","0","0","4","65","16","15","19","0"
"1","50","0","0","0","0","0","0","0","0"
"5","50","0","0","5","271.00000000000006","0","20","30","0"
"2","50","0","0","6","424","7","4","39","0"
"8","50","0","0","5","428.00000000000006","0","25","25","0"
"4","50","0","0","1","18","18","20","12","0"
"3","50","0","0","5","65","0","6","44","0"
"6","50","0","0","5","268","0","43","7","0"
"7","50","0","0","1","58.999999999999986","19","17","14","0"
"5","50","0","0","6","311","0","36","14","0"
"6","50","0","0","6","307.99999999999994","0","4","46","0"
"2","50","0","0","7","466.9999999999996","3","47","0","0"
"7","50","0","0","2","114.00000000000004","15","15","20","0"
"8","50","0","0","6","470.9999999999998","3","47","0","0"
"4","50","0","0","2","70.00000000000001","12","22","16","0"
"5","50","0","0","7","400.9999999999999","10","4","36","0"
"7","50","0","0","3","169.99999999999991","16","21","13","0"
"2","50","0","0","8","528.9999999999999","22","9","19","0"
"6","50","0","0","7","317.00000000000006","9","21","20","0"
"7","50","0","0","4","187.99999999999994","18","15","17","0"
"4","50","0","0","3","200.99999999999994","11","15","24","0"
"8","50","0","0","7","552.0000000000001","1","2","47","0"
"5","50","0","0","8","412.00000000000006","11","36","3","0"
"3","50","0","0","6","104.99999999999991","0","50","0","0"
"2","50","0","0","9","575.9999999999998","7","26","17","0"
"6","50","0","0","8","457","20","22","8","0"
"4","50","0","0","4","253.00000000000006","12","21","17","0"
"8","50","0","0","8","690.0000000000002","18","16","16","0"
"5","50","0","0","9","470.9999999999999","19","9","22","0"
