"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:36:52:333 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"6","50","0.05","1","0","0","0","0","0","0"
"7","50","0.05","1","0","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0","0"
"5","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"6","50","0.05","1","1","61.999999999999986","0","61.999999999999986","0","0"
"4","50","0","1","1","94.00000000000001","0","94.00000000000001","0","0"
"6","50","0.05","1","2","59.95000000000006","0","59.95000000000006","0","0"
"7","50","0.05","1","1","55.00000000000002","0","55.00000000000002","0","0"
"4","50","0","1","2","135.00000000000003","0","135.00000000000003","0","0"
"6","50","0.05","1","3","99.19999999999999","0","99.19999999999999","0","0"
"4","50","0","1","3","255.99999999999991","0","255.99999999999991","0","0"
"6","50","0.05","1","4","139.20000000000007","0","139.20000000000007","0","0"
"4","50","0","1","4","297","0","297","0","0"
"2","50","0","1","1","17","0","17","0","0"
"6","50","0.05","1","5","139.20000000000007","0","139.20000000000007","0","0"
"4","50","0","1","5","338.00000000000017","0","338.00000000000017","0","0"
"3","50","0","1","1","54","0","54","0","0"
"6","50","0.05","1","6","219.2000000000001","0","219.2000000000001","0","0"
"4","50","0","1","6","339","0","339","0","0"
"7","50","0.05","1","2","53.50000000000002","0","53.50000000000002","0","0"
"6","50","0.05","1","7","219.20000000000005","0","219.20000000000005","0","0"
"4","50","0","1","7","380.0000000000002","0","380.0000000000002","0","0"
"5","50","0","1","1","97.00000000000003","0","97.00000000000003","0","0"
"7","50","0.05","1","3","53.00000000000001","0","53.00000000000001","0","0"
"6","50","0.05","1","8","299.20000000000005","0","299.20000000000005","0","0"
"4","50","0","1","8","501.0000000000002","0","501.0000000000002","0","0"
"7","50","0.05","1","4","53.00000000000001","0","53.00000000000001","0","0"
"6","50","0.05","1","9","339.20000000000005","0","339.20000000000005","0","0"
"6","50","0.05","1","10","419.19999999999993","0","419.19999999999993","0","0"
"4","50","0","1","9","622","0","622","0","0"
"7","50","0.05","1","5","93","0","93","0","0"
"6","50","0.05","1","11","419.19999999999993","0","419.19999999999993","0","0"
"5","50","0","1","2","138","0","138","0","0"
"4","50","0","1","10","663.0000000000001","0","663.0000000000001","0","0"
"7","50","0.05","1","6","133.00000000000006","0","133.00000000000006","0","0"
"6","50","0.05","1","12","539.2000000000002","0","539.2000000000002","0","0"
"1","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","1","59.999999999999986","0","59.999999999999986","0","0"
"7","50","0.05","1","7","172.99999999999997","0","172.99999999999997","0","0"
"6","50","0.05","1","13","619.2000000000002","0","619.2000000000002","0","0"
"2","50","0","1","2","21","0","21","0","0"
"4","50","0","1","11","704.0000000000002","0","704.0000000000002","0","0"
"3","50","0","1","2","54","0","54","0","0"
"5","50","0","1","3","178.00000000000009","0","178.00000000000009","0","0"
"7","50","0.05","1","8","292.99999999999994","0","292.99999999999994","0","0"
"6","50","0.05","1","14","699.2000000000002","0","699.2000000000002","0","0"
"2","50","0","1","3","22","0","22","0","0"
"4","50","0","1","12","824.9999999999997","0","824.9999999999997","0","0"
"4","50","0","1","13","866.0000000000001","0","866.0000000000001","0","0"
"5","50","0","1","4","297.99999999999994","0","297.99999999999994","0","0"
"3","50","0","1","3","56","0","56","0","0"
"6","50","0.05","1","15","739.2","0","739.2","0","0"
"2","50","0","1","4","62.999999999999986","0","62.999999999999986","0","0"
"7","50","0.05","1","9","372.99999999999994","0","372.99999999999994","0","0"
"4","50","0","1","14","866.9999999999998","0","866.9999999999998","0","0"
"6","50","0.05","1","16","819.2","0","819.2","0","0"
"3","50","0","1","4","138.00000000000003","0","138.00000000000003","0","0"
"5","50","0","1","5","297.9999999999999","0","297.9999999999999","0","0"
"1","50","0","1","1","15","0","15","0","0"
"2","50","0","1","5","103.99999999999999","0","103.99999999999999","0","0"
"8","50","0.05","1","2","138.50000000000003","0","138.50000000000003","0","0"
"7","50","0.05","1","10","453.00000000000006","0","453.00000000000006","0","0"
"6","50","0.05","1","17","859.1999999999996","0","859.1999999999996","0","0"
"4","50","0","1","15","948.0000000000002","0","948.0000000000002","0","0"
"5","50","0","1","6","297.99999999999983","0","297.99999999999983","0","0"
"3","50","0","1","5","140.00000000000003","0","140.00000000000003","0","0"
"2","50","0","1","6","185.00000000000003","0","185.00000000000003","0","0"
"7","50","0.05","1","11","492.9999999999999","0","492.9999999999999","0","0"
"4","50","0","1","16","1069.0000000000002","0","1069.0000000000002","0","0"
"6","50","0.05","1","18","859.1999999999997","0","859.1999999999997","0","0"
"5","50","0","1","7","338","0","338","0","0"
"8","50","0.05","1","3","179.04999999999995","0","179.04999999999995","0","0"
"3","50","0","1","6","142","0","142","0","0"
"4","50","0","1","17","1110.0000000000002","0","1110.0000000000002","0","0"
"7","50","0.05","1","12","533.0000000000001","0","533.0000000000001","0","0"
"2","50","0","1","7","225.99999999999997","0","225.99999999999997","0","0"
"6","50","0.05","1","19","899.1999999999997","0","899.1999999999997","0","0"
"5","50","0","1","8","338","0","338","0","0"
"3","50","0","1","7","144","0","144","0","0"
"7","50","0.05","1","13","573.0000000000001","0","573.0000000000001","0","0"
"4","50","0","1","18","1151.0000000000002","0","1151.0000000000002","0","0"
"1","50","0","1","2","55.999999999999986","0","55.999999999999986","0","0"
"2","50","0","1","8","266.99999999999983","0","266.99999999999983","0","0"
"6","50","0.05","1","20","939.1999999999999","0","939.1999999999999","0","0"
"7","50","0.05","1","14","613","0","613","0","0"
"6","50","0.05","1","21","1059.2000000000003","0","1059.2000000000003","0","0"
"2","50","0","1","9","267.9999999999999","0","267.9999999999999","0","0"
"8","50","0.05","1","4","180.05000000000004","0","180.05000000000004","0","0"
"1","50","0","1","3","96.99999999999999","0","96.99999999999999","0","0"
"7","50","0.05","1","15","613","0","613","0","0"
"3","50","0","1","8","146","0","146","0","0"
"6","50","0.05","1","22","1179.2000000000007","0","1179.2000000000007","0","0"
"2","50","0","1","10","268.99999999999994","0","268.99999999999994","0","0"
"8","50","0.05","1","5","221.0500000000001","0","221.0500000000001","0","0"
"1","50","0","1","4","217.99999999999997","0","217.99999999999997","0","0"
"4","50","0","1","19","1272","0","1272","0","0"
"5","50","0","1","9","337.9999999999999","0","337.9999999999999","0","0"
"6","50","0.05","1","23","1179.2000000000003","0","1179.2000000000003","0","0"
"2","50","0","1","11","309.9999999999997","0","309.9999999999997","0","0"
"4","50","0","1","20","1312.9999999999998","0","1312.9999999999998","0","0"
"8","50","0.05","1","6","222.05","0","222.05","0","0"
"1","50","0","1","5","258.99999999999983","0","258.99999999999983","0","0"
"6","50","0.05","1","24","1179.2000000000003","0","1179.2000000000003","0","0"
"3","50","0","1","9","148.00000000000003","0","148.00000000000003","0","0"
"8","50","0.05","1","7","223.05000000000013","0","223.05000000000013","0","0"
"4","50","0","1","21","1313.9999999999995","0","1313.9999999999995","0","0"
"7","50","0.05","1","16","733.0000000000003","0","733.0000000000003","0","0"
"2","50","0","1","12","390.9999999999997","0","390.9999999999997","0","0"
"1","50","0","1","6","259.99999999999983","0","259.99999999999983","0","0"
"4","50","0","1","22","1314.9999999999998","0","1314.9999999999998","0","0"
"3","50","0","1","10","230.00000000000009","0","230.00000000000009","0","0"
"8","50","0.05","1","8","264.05","0","264.05","0","0"
"7","50","0.05","1","17","733.0000000000003","0","733.0000000000003","0","0"
"2","50","0","1","13","391.9999999999997","0","391.9999999999997","0","0"
"4","50","0","1","23","1315.9999999999995","0","1315.9999999999995","0","0"
"1","50","0","1","7","300.9999999999999","0","300.9999999999999","0","0"
"7","50","0.05","1","18","733.0000000000002","0","733.0000000000002","0","0"
"6","50","0.05","1","25","1299.2000000000003","0","1299.2000000000003","0","0"
"5","50","0","1","10","338.00000000000006","0","338.00000000000006","0","0"
"8","50","0.05","1","9","265.04999999999995","0","265.04999999999995","0","0"
"3","50","0","1","11","312.0000000000001","0","312.0000000000001","0","0"
"7","50","0.05","1","19","852.9999999999998","0","852.9999999999998","0","0"
"1","50","0","1","8","341.9999999999999","0","341.9999999999999","0","0"
"2","50","0","1","14","432.99999999999994","0","432.99999999999994","0","0"
"5","50","0","1","11","418.0000000000003","0","418.0000000000003","0","0"
"3","50","0","1","12","314.0000000000001","0","314.0000000000001","0","0"
"6","50","0.05","1","26","1379.1999999999996","0","1379.1999999999996","0","0"
"4","50","0","1","24","1357","0","1357","0","0"
"1","50","0","1","9","422.99999999999983","0","422.99999999999983","0","0"
"8","50","0.05","1","10","306.05000000000007","0","306.05000000000007","0","0"
"5","50","0","1","12","498.0000000000002","0","498.0000000000002","0","0"
"4","50","0","1","25","1437.9999999999998","0","1437.9999999999998","0","0"
"6","50","0.05","1","27","1419.1999999999998","0","1419.1999999999998","0","0"
"3","50","0","1","13","356.0000000000001","0","356.0000000000001","0","0"
"1","50","0","1","10","463.9999999999998","0","463.9999999999998","0","0"
"7","50","0.05","1","20","892.9999999999997","0","892.9999999999997","0","0"
"5","50","0","1","13","578.0000000000001","0","578.0000000000001","0","0"
"2","50","0","1","15","434","0","434","0","0"
"4","50","0","1","26","1479.0000000000002","0","1479.0000000000002","0","0"
"5","50","0","1","14","578","0","578","0","0"
"8","50","0.05","1","11","307.05","0","307.05","0","0"
"1","50","0","1","11","504.9999999999997","0","504.9999999999997","0","0"
"4","50","0","1","27","1560.0000000000007","0","1560.0000000000007","0","0"
"7","50","0.05","1","21","932.9999999999991","0","932.9999999999991","0","0"
"6","50","0.05","1","28","1539.2000000000007","0","1539.2000000000007","0","0"
"5","50","0","1","15","698","0","698","0","0"
"4","50","0","1","28","1641.0000000000005","0","1641.0000000000005","0","0"
"7","50","0.05","1","22","932.9999999999993","0","932.9999999999993","0","0"
"8","50","0.05","1","12","308.05","0","308.05","0","0"
"6","50","0.05","1","29","1539.2000000000003","0","1539.2000000000003","0","0"
"2","50","0","1","16","435","0","435","0","0"
"4","50","0","1","29","1642.0000000000005","0","1642.0000000000005","0","0"
"3","50","0","1","14","397.99999999999994","0","397.99999999999994","0","0"
"2","50","0","1","17","475.9999999999996","0","475.9999999999996","0","0"
"8","50","0.05","1","13","349.0499999999999","0","349.0499999999999","0","0"
"6","50","0.05","1","30","1579.2","0","1579.2","0","0"
"4","50","0","1","30","1762.999999999999","0","1762.999999999999","0","0"
"5","50","0","1","16","817.9999999999998","0","817.9999999999998","0","0"
"1","50","0","1","12","545.9999999999997","0","545.9999999999997","0","0"
"7","50","0.05","1","23","972.9999999999994","0","972.9999999999994","0","0"
"6","50","0.05","1","31","1619.2000000000003","0","1619.2000000000003","0","0"
"8","50","0.05","1","14","470.0500000000002","0","470.0500000000002","0","0"
"4","50","0","1","31","1763.9999999999989","0","1763.9999999999989","0","0"
"3","50","0","1","15","400.00000000000006","0","400.00000000000006","0","0"
"7","50","0.05","1","24","972.9999999999994","0","972.9999999999994","0","0"
"6","50","0.05","1","32","1699.2000000000005","0","1699.2000000000005","0","0"
"4","50","0","1","32","1804.9999999999995","0","1804.9999999999995","0","0"
"2","50","0","1","18","476.99999999999966","0","476.99999999999966","0","0"
"1","50","0","1","13","667.0000000000001","0","667.0000000000001","0","0"
"8","50","0.05","1","15","511.05000000000007","0","511.05000000000007","0","0"
"7","50","0.05","1","25","972.9999999999994","0","972.9999999999994","0","0"
"5","50","0","1","17","938","0","938","0","0"
"6","50","0.05","1","33","1739.2000000000007","0","1739.2000000000007","0","0"
"2","50","0","1","19","477.99999999999955","0","477.99999999999955","0","0"
"4","50","0","1","33","1886","0","1886","0","0"
"7","50","0.05","1","26","1093.0000000000002","0","1093.0000000000002","0","0"
"1","50","0","1","14","747.9999999999997","0","747.9999999999997","0","0"
"8","50","0.05","1","16","592.0499999999998","0","592.0499999999998","0","0"
"3","50","0","1","16","442.00000000000006","0","442.00000000000006","0","0"
"6","50","0.05","1","34","1779.2000000000007","0","1779.2000000000007","0","0"
"4","50","0","1","34","1927.0000000000007","0","1927.0000000000007","0","0"
"7","50","0.05","1","27","1093","0","1093","0","0"
"5","50","0","1","18","938","0","938","0","0"
"8","50","0.05","1","17","633.05","0","633.05","0","0"
"2","50","0","1","20","559.0000000000001","0","559.0000000000001","0","0"
"6","50","0.05","1","35","1779.2000000000003","0","1779.2000000000003","0","0"
"7","50","0.05","1","28","1093","0","1093","0","0"
"4","50","0","1","35","2008","0","2008","0","0"
"3","50","0","1","17","564","0","564","0","0"
"8","50","0.05","1","18","634.0500000000001","0","634.0500000000001","0","0"
"2","50","0","1","21","600.0000000000003","0","600.0000000000003","0","0"
"6","50","0.05","1","36","1819.200000000001","0","1819.200000000001","0","0"
"7","50","0.05","1","29","1133","0","1133","0","0"
"4","50","0","1","36","2009.0000000000007","0","2009.0000000000007","0","0"
"5","50","0","1","19","977.9999999999997","0","977.9999999999997","0","0"
"2","50","0","1","22","641.0000000000003","0","641.0000000000003","0","0"
"7","50","0.05","1","30","1172.9999999999998","0","1172.9999999999998","0","0"
"3","50","0","1","18","646","0","646","0","0"
"8","50","0.05","1","19","635.05","0","635.05","0","0"
"4","50","0","1","37","2090","0","2090","0","0"
"1","50","0","1","15","789","0","789","0","0"
"6","50","0.05","1","37","1819.2000000000005","0","1819.2000000000005","0","0"
"7","50","0.05","1","31","1292.999999999999","0","1292.999999999999","0","0"
