"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau, measure pool choices"
"04/30/2018 19:53:14:957 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","get-for-pool recent-agent-history 0","get-for-pool recent-agent-history 1","get-for-pool recent-agent-history 2"
"8","50","0.05","1","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0"
"7","50","0.05","1","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0"
"4","50","0","1","1","53.999999999999986","14","14","22"
"5","50","0","1","0","0","0","0","0"
"3","50","0","1","1","55.999999999999986","16","15","19"
"4","50","0","1","2","94.00000000000001","0","24","26"
"8","50","0.05","1","1","143.00000000000006","23","8","19"
"2","50","0","1","1","55","15","21","14"
"7","50","0.05","1","1","11","11","21","18"
"4","50","0","1","3","94.99999999999999","1","25","24"
"3","50","0","1","2","176.00000000000006","0","30","20"
"4","50","0","1","4","96","1","24","25"
"2","50","0","1","2","94.99999999999997","0","24","26"
"3","50","0","1","3","216.99999999999991","1","34","15"
"4","50","0","1","5","97","1","25","24"
"2","50","0","1","3","95.99999999999999","1","24","25"
"8","50","0.05","1","2","141.45000000000005","0","21","29"
"6","50","0.05","1","0","0","0","0","0"
"4","50","0","1","6","177.99999999999991","1","24","25"
"3","50","0","1","4","257","0","34","16"
"2","50","0","1","4","137","1","24","25"
"7","50","0.05","1","2","49.80000000000004","0","23","27"
"8","50","0.05","1","3","182.85","2","23","25"
"1","50","0","1","0","0","0","0","0"
"4","50","0","1","7","218.99999999999997","1","25","24"
"5","50","0","1","1","62.99999999999999","23","9","18"
"2","50","0","1","5","177.99999999999997","1","24","25"
"7","50","0.05","1","3","49.45000000000001","0","22","28"
"8","50","0.05","1","4","304.80000000000007","2","22","26"
"4","50","0","1","8","219.99999999999994","1","24","25"
"2","50","0","1","6","218.99999999999994","1","24","25"
"6","50","0.05","1","1","140.00000000000003","20","13","17"
"7","50","0.05","1","4","89.45","0","22","28"
"1","50","0","1","1","62.00000000000002","22","13","15"
"6","50","0.05","1","2","178.40000000000012","0","24","26"
"3","50","0","1","5","257","0","33","17"
"7","50","0.05","1","5","209.45000000000005","0","22","28"
"4","50","0","1","9","261.00000000000006","1","25","24"
"2","50","0","1","7","260.00000000000006","1","24","25"
"8","50","0.05","1","5","346.8","2","22","26"
"2","50","0","1","8","301","1","24","25"
"6","50","0.05","1","3","178.85000000000005","1","28","21"
"4","50","0","1","10","301.99999999999994","1","24","25"
"3","50","0","1","6","298","1","33","16"
"8","50","0.05","1","6","388.8","2","22","26"
"7","50","0.05","1","6","249.44999999999993","0","22","28"
"1","50","0","1","2","103.00000000000004","1","24","25"
"5","50","0","1","2","62.99999999999999","0","28","22"
"2","50","0","1","9","302","1","24","25"
"3","50","0","1","7","298.00000000000006","0","33","17"
"4","50","0","1","11","342.99999999999994","1","25","24"
"8","50","0.05","1","7","390.8","2","22","26"
"7","50","0.05","1","7","249.44999999999996","0","22","28"
"1","50","0","1","3","225.00000000000003","2","22","26"
"2","50","0","1","10","303","1","24","25"
"6","50","0.05","1","4","219.74999999999991","1","26","23"
"4","50","0","1","12","463.99999999999994","1","24","25"
"8","50","0.05","1","8","392.79999999999995","2","22","26"
"7","50","0.05","1","8","369.44999999999993","0","22","28"
"2","50","0","1","11","304.0000000000001","1","24","25"
"4","50","0","1","13","504.9999999999998","1","25","24"
"8","50","0.05","1","9","394.79999999999995","2","22","26"
"7","50","0.05","1","9","369.45","0","22","28"
"1","50","0","1","4","307.0000000000002","2","23","25"
"5","50","0","1","3","106.99999999999999","4","26","20"
"3","50","0","1","8","378.9999999999999","1","33","16"
"6","50","0.05","1","5","260.75","1","26","23"
"8","50","0.05","1","10","396.8000000000001","2","22","26"
"4","50","0","1","14","505.99999999999966","1","24","25"
"7","50","0.05","1","10","369.44999999999993","0","22","28"
"4","50","0","1","15","506.9999999999998","1","25","24"
"1","50","0","1","5","349.0000000000001","2","22","26"
"2","50","0","1","12","304.99999999999994","1","24","25"
"3","50","0","1","9","458.99999999999983","0","33","17"
"8","50","0.05","1","11","478.7999999999999","2","22","26"
"6","50","0.05","1","6","301.75","1","26","23"
"4","50","0","1","16","547.9999999999998","1","24","25"
"2","50","0","1","13","346","1","24","25"
"5","50","0","1","4","109.99999999999996","3","26","21"
"6","50","0.05","1","7","302.75","1","26","23"
"4","50","0","1","17","548.9999999999998","1","25","24"
"8","50","0.05","1","12","480.79999999999995","2","22","26"
"1","50","0","1","6","431.0000000000002","2","23","25"
"7","50","0.05","1","11","449.4499999999997","0","22","28"
"8","50","0.05","1","13","522.8000000000001","2","22","26"
"1","50","0","1","7","433.0000000000001","2","22","26"
"6","50","0.05","1","8","303.75","1","26","23"
"4","50","0","1","18","549.9999999999997","1","24","25"
"2","50","0","1","14","347.00000000000006","1","24","25"
"3","50","0","1","10","539.9999999999999","1","33","16"
"4","50","0","1","19","550.9999999999997","1","25","24"
"7","50","0.05","1","12","489.4499999999996","0","22","28"
"1","50","0","1","8","435.00000000000006","2","23","25"
"5","50","0","1","5","113.99999999999997","4","26","20"
"4","50","0","1","20","551.9999999999998","1","24","25"
"6","50","0.05","1","9","344.75","1","26","23"
"1","50","0","1","9","517.0000000000002","2","22","26"
"7","50","0.05","1","13","569.4499999999999","0","22","28"
"8","50","0.05","1","14","524.8","2","22","26"
"4","50","0","1","21","592.9999999999998","1","25","24"
"2","50","0","1","15","388","1","24","25"
"5","50","0","1","6","236.9999999999999","3","26","21"
"6","50","0.05","1","10","345.74999999999994","1","26","23"
