"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"04/30/2018 08:45:41:518 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"5","50","0","1","0","0","0","0","0","0"
"6","50","0.05","1","0","0","0","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"3","50","0","1","1","55","23","32","0","0"
"7","50","0.05","1","0","0","0","0","0","0"
"5","50","0","1","1","17","9","8","0","0"
"1","50","0","1","0","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0","0"
"5","50","0","1","2","106.99999999999997","55.666666666666686","51.333333333333336","0","0"
"5","50","0","1","3","120.99999999999997","55.66666666666668","65.33333333333334","0","0"
"6","50","0.05","1","1","12","7","5","0","0"
"5","50","0","1","4","166.00000000000009","74.61403508771933","91.38596491228071","0","0"
"3","50","0","1","2","66","23","43","0","0"
"5","50","0","1","5","177.00000000000009","75.61403508771932","101.38596491228068","0","0"
"7","50","0.05","1","1","93.00000000000003","40.76923076923077","52.23076923076923","0","0"
"3","50","0","1","3","75","23","52","0","0"
"6","50","0.05","1","2","19.54999999999999","7.200000000000002","12.349999999999998","0","0"
"5","50","0","1","6","230.00000000000006","104.94736842105259","125.05263157894736","0","0"
"3","50","0","1","4","122.99999999999994","46.85714285714286","76.14285714285714","0","0"
"6","50","0.05","1","3","67.65","34.422727272727265","33.22727272727272","0","0"
"4","50","0","1","1","53.999999999999986","28.17647058823529","25.823529411764707","0","0"
"5","50","0","1","7","281.9999999999999","123.99498746867168","158.00501253132833","0","0"
"3","50","0","1","5","170.99999999999991","71.85714285714285","99.14285714285711","0","0"
"6","50","0.05","1","4","73.85000000000001","34.42272727272728","39.427272727272744","0","0"
"5","50","0","1","8","409.00000000000017","193.23943191311608","215.7605680868839","0","0"
"6","50","0.05","1","5","79.04999999999998","34.37272727272726","44.677272727272744","0","0"
"3","50","0","1","6","264.00000000000006","126.1904761904762","137.8095238095238","0","0"
"5","50","0","1","9","418.0000000000001","194.23943191311605","223.76056808688386","0","0"
"6","50","0.05","1","6","82.24999999999999","34.372727272727275","47.87727272727274","0","0"
"7","50","0.05","1","2","103.20000000000005","40.91923076923077","62.28076923076926","0","0"
"2","50","0","1","1","11","4","7","0","0"
"3","50","0","1","7","272","126.19047619047615","145.8095238095238","0","0"
"1","50","0","1","1","60","39","21","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"6","50","0.05","1","7","130.3","63.463636363636354","66.83636363636363","0","0"
"4","50","0","1","2","180.00000000000006","98.17647058823529","81.82352941176471","0","0"
"5","50","0","1","10","514.0000000000002","259.23943191311605","254.76056808688392","0","0"
"6","50","0.05","1","8","176.19999999999993","90.13030303030303","86.06969696969698","0","0"
"4","50","0","1","3","265.99999999999994","144.33031674208144","121.66968325791855","0","0"
"5","50","0","1","11","519.0000000000002","259.23943191311605","259.7605680868839","0","0"
"3","50","0","1","8","324.00000000000017","159.19047619047623","164.8095238095238","0","0"
"7","50","0.05","1","3","111.10000000000004","41.769230769230774","69.33076923076925","0","0"
"2","50","0","1","2","60","30","30","0","0"
"6","50","0.05","1","9","303.3999999999999","159.7456876456876","143.65431235431237","0","0"
"5","50","0","1","12","568.0000000000001","282.0576137312979","285.942386268702","0","0"
"3","50","0","1","9","328.00000000000006","159.1904761904762","168.80952380952382","0","0"
"4","50","0","1","4","352.00000000000006","186.81179822356293","165.18820177643707","0","0"
"6","50","0.05","1","10","313.59999999999997","159.74568764568767","153.85431235431233","0","0"
"5","50","0","1","13","575.9999999999999","282.0576137312979","293.9423862687021","0","0"
"3","50","0","1","10","337.00000000000006","160.19047619047623","176.80952380952382","0","0"
"2","50","0","1","3","149","86","63","0","0"
"4","50","0","1","5","361.00000000000006","187.81179822356287","173.18820177643704","0","0"
"6","50","0.05","1","11","324.7499999999999","159.64568764568762","165.10431235431236","0","0"
"5","50","0","1","14","587.0000000000001","282.0576137312979","304.94238626870214","0","0"
"7","50","0.05","1","4","235.15000000000012","107.27515962298575","127.8748403770143","0","0"
"3","50","0","1","11","385.00000000000006","181.19047619047618","203.80952380952385","0","0"
"4","50","0","1","6","411.99999999999994","212.2562426680074","199.74375733199264","0","0"
"5","50","0","1","15","635.0000000000001","306.05761373129786","328.9423862687021","0","0"
"6","50","0.05","1","12","372.84999999999985","185.68264416742673","187.1673558325732","0","0"
"3","50","0","1","12","393.00000000000006","182.19047619047618","210.8095238095238","0","0"
"4","50","0","1","7","414.99999999999994","212.25624266800736","202.74375733199264","0","0"
"1","50","0","1","2","112","61.857142857142854","50.14285714285714","0","0"
"5","50","0","1","16","644.0000000000001","306.057613731298","337.94238626870214","0","0"
"6","50","0.05","1","13","421.14999999999975","210.68264416742676","210.4673558325732","0","0"
"3","50","0","1","13","521.0000000000003","256.5238095238096","264.47619047619054","0","0"
"4","50","0","1","8","423.0000000000001","212.2562426680074","210.7437573319926","0","0"
"1","50","0","1","3","117","61.857142857142854","55.14285714285714","0","0"
"7","50","0.05","1","5","242.25000000000003","108.22515962298576","134.0248403770143","0","0"
"5","50","0","1","17","692","329.2155084681401","362.78449153185994","0","0"
"6","50","0.05","1","14","472.4499999999999","237.95537144015398","234.49462855984598","0","0"
"4","50","0","1","9","433.00000000000017","212.25624266800733","220.74375733199264","0","0"
"2","50","0","1","4","162","87","75","0","0"
"5","50","0","1","18","741","349.34594325074886","391.65405674925137","0","0"
"6","50","0.05","1","15","595.55","310.6435434831648","284.90645651683514","0","0"
"8","50","0.05","1","1","51.99999999999999","30.66666666666666","21.333333333333332","0","0"
"7","50","0.05","1","6","288.3","133.17515962298577","155.12484037701427","0","0"
"1","50","0","1","4","125.00000000000001","61.85714285714286","63.14285714285714","0","0"
"4","50","0","1","10","561.0000000000003","288.2562426680074","272.74375733199264","0","0"
"6","50","0.05","1","16","647.5999999999999","342.2224908515859","305.37750914841416","0","0"
"2","50","0","1","5","167","87","80","0","0"
"1","50","0","1","5","253.99999999999997","135.9241285030759","118.07587149692415","0","0"
"7","50","0.05","1","7","380.50000000000006","187.508492956319","192.99150704368097","0","0"
"6","50","0.05","1","17","693.75","367.62703630613123","326.12296369386866","0","0"
"4","50","0","1","11","568.0000000000002","288.2562426680074","279.7437573319927","0","0"
"2","50","0","1","6","176","88","88","0","0"
"3","50","0","1","14","571.0000000000001","277.5238095238096","293.4761904761905","0","0"
"1","50","0","1","6","298.99999999999994","159.08202323991796","139.91797676008207","0","0"
"7","50","0.05","1","8","386.75","188.50849295631903","198.24150704368094","0","0"
"6","50","0.05","1","18","740.7499999999998","396.6179453970403","344.1320546029596","0","0"
"4","50","0","1","12","617.0000000000002","305.6475470158335","311.3524529841666","0","0"
"3","50","0","1","15","581","278.5238095238095","302.4761904761905","0","0"
"2","50","0","1","7","226","109","117","0","0"
"5","50","0","1","19","749","349.345943250749","399.6540567492513","0","0"
"1","50","0","1","7","428.99999999999983","234.43555859345332","194.56444140654673","0","0"
"7","50","0.05","1","9","437.79999999999995","216.17515962298566","221.62484037701432","0","0"
"6","50","0.05","1","19","792.9000000000001","428.61794539704033","364.2820546029596","0","0"
"4","50","0","1","13","707","358.9808803491668","348.01911965083315","0","0"
"2","50","0","1","8","235","110","125","0","0"
"5","50","0","1","20","794.9999999999999","375.3459432507488","419.65405674925125","0","0"
"8","50","0.05","1","2","60.35000000000003","30.816666666666666","29.533333333333328","0","0"
"1","50","0","1","8","479.99999999999983","260.31791153462984","219.68208846537024","0","0"
"6","50","0.05","1","20","839.9999999999999","453.97249085158586","386.02750914841414","0","0"
"7","50","0.05","1","10","446.09999999999985","217.17515962298566","228.92484037701425","0","0"
"4","50","0","1","14","720.0000000000002","358.9808803491668","361.0191196508331","0","0"
"5","50","0","1","21","842","401.3459432507489","440.65405674925137","0","0"
"2","50","0","1","9","281","129","152","0","0"
"1","50","0","1","9","489.99999999999994","260.3179115346299","229.68208846537024","0","0"
"6","50","0.05","1","21","886.9499999999997","481.69857780810764","405.2514221918924","0","0"
"8","50","0.05","1","3","192.59999999999994","106.4049019607843","86.1950980392157","0","0"
"2","50","0","1","10","329","152","177","0","0"
"6","50","0.05","1","22","929.4499999999998","507.29857780810744","422.1514221918925","0","0"
"3","50","0","1","16","632","305.5238095238096","326.4761904761905","0","0"
"4","50","0","1","15","809.0000000000003","413.52633489462136","395.4736651053787","0","0"
"1","50","0","1","10","495.9999999999999","260.31791153462984","235.6820884653702","0","0"
