"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary tau"
"05/07/2018 00:39:06:388 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","15"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]","sum [wealth] of turtles with [ strategy = 2 ]","sum [wealth] of turtles with [ strategy = 3 ]"
"6","50","0.05","1","0","0","0","0","0","0"
"5","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","0","0","0","0","0","0"
"2","50","0","1","0","0","0","0","0","0"
"7","50","0.05","1","0","0","0","0","0","0"
"3","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","1","50","50","0","0","0"
"8","50","0.05","1","2","98.95","98.95","0","0","0"
"4","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","3","185.75","185.75","0","0","0"
"6","50","0.05","1","1","49","49","0","0","0"
"8","50","0.05","1","4","234.55","234.55","0","0","0"
"1","50","0","1","0","0","0","0","0","0"
"8","50","0.05","1","5","323.45","323.45","0","0","0"
"5","50","0","1","1","49","49","0","0","0"
"8","50","0.05","1","6","372.34999999999997","372.34999999999997","0","0","0"
"2","50","0","1","1","47","47","0","0","0"
"6","50","0.05","1","2","137.9","137.9","0","0","0"
"8","50","0.05","1","7","498.1","498.1","0","0","0"
"5","50","0","1","2","217","217","0","0","0"
"8","50","0.05","1","8","546.8499999999998","546.8499999999998","0","0","0"
"6","50","0.05","1","3","305.75","305.75","0","0","0"
"8","50","0.05","1","9","675.7499999999999","675.7499999999999","0","0","0"
"6","50","0.05","1","4","353.54999999999995","353.54999999999995","0","0","0"
"2","50","0","1","2","97","97","0","0","0"
"7","50","0.05","1","1","86","86","0","0","0"
"8","50","0.05","1","10","762.55","762.55","0","0","0"
"6","50","0.05","1","5","402.40000000000003","402.40000000000003","0","0","0"
"2","50","0","1","3","145","145","0","0","0"
"3","50","0","1","1","50","50","0","0","0"
"7","50","0.05","1","2","133.7","133.7","0","0","0"
"4","50","0","1","1","49","49","0","0","0"
"6","50","0.05","1","6","570.25","570.25","0","0","0"
"8","50","0.05","1","11","812.3999999999997","812.3999999999997","0","0","0"
"2","50","0","1","4","232","232","0","0","0"
"3","50","0","1","2","177","177","0","0","0"
"5","50","0","1","3","267","267","0","0","0"
"7","50","0.05","1","3","182.55","182.55","0","0","0"
"4","50","0","1","2","97","97","0","0","0"
"6","50","0.05","1","7","619.0999999999999","619.0999999999999","0","0","0"
"8","50","0.05","1","12","861.3499999999998","861.3499999999998","0","0","0"
"2","50","0","1","5","280","280","0","0","0"
"5","50","0","1","4","355","355","0","0","0"
"1","50","0","1","1","87","87","0","0","0"
"6","50","0.05","1","8","786.9499999999999","786.9499999999999","0","0","0"
"4","50","0","1","3","145","145","0","0","0"
"8","50","0.05","1","13","908.1499999999997","908.1499999999997","0","0","0"
"3","50","0","1","3","226","226","0","0","0"
"2","50","0","1","6","330","330","0","0","0"
"5","50","0","1","5","443","443","0","0","0"
"1","50","0","1","2","134","134","0","0","0"
"7","50","0.05","1","4","270.4","270.4","0","0","0"
"8","50","0.05","1","14","956.9499999999996","956.9499999999996","0","0","0"
"6","50","0.05","1","9","873.6999999999999","873.6999999999999","0","0","0"
"4","50","0","1","4","233","233","0","0","0"
"2","50","0","1","7","378","378","0","0","0"
"3","50","0","1","4","276","276","0","0","0"
"5","50","0","1","6","531","531","0","0","0"
"8","50","0.05","1","15","1005.8499999999997","1005.8499999999997","0","0","0"
"4","50","0","1","5","281","281","0","0","0"
"6","50","0.05","1","10","1000.45","1000.45","0","0","0"
"2","50","0","1","8","426","426","0","0","0"
"5","50","0","1","7","580","580","0","0","0"
"1","50","0","1","3","183","183","0","0","0"
"3","50","0","1","5","324","324","0","0","0"
"8","50","0.05","1","16","1052.6999999999998","1052.6999999999998","0","0","0"
"7","50","0.05","1","5","397.15","397.15","0","0","0"
"4","50","0","1","6","407","407","0","0","0"
"6","50","0.05","1","11","1047.1999999999998","1047.1999999999998","0","0","0"
"2","50","0","1","9","594","594","0","0","0"
"5","50","0","1","8","667","667","0","0","0"
"8","50","0.05","1","17","1137.3000000000002","1137.3000000000002","0","0","0"
"3","50","0","1","6","411","411","0","0","0"
"7","50","0.05","1","6","484.89999999999986","484.89999999999986","0","0","0"
"6","50","0.05","1","12","1136","1136","0","0","0"
"8","50","0.05","1","18","1184.9499999999998","1184.9499999999998","0","0","0"
"5","50","0","1","9","712","712","0","0","0"
"8","50","0.05","1","19","1230.6499999999999","1230.6499999999999","0","0","0"
"6","50","0.05","1","13","1303.8500000000001","1303.8500000000001","0","0","0"
"7","50","0.05","1","7","533.7499999999999","533.7499999999999","0","0","0"
"5","50","0","1","10","799","799","0","0","0"
"1","50","0","1","4","271","271","0","0","0"
"8","50","0.05","1","20","1278.35","1278.35","0","0","0"
"5","50","0","1","11","849","849","0","0","0"
"7","50","0.05","1","8","621.5999999999998","621.5999999999998","0","0","0"
"2","50","0","1","10","643","643","0","0","0"
"4","50","0","1","7","456","456","0","0","0"
"5","50","0","1","12","976.0000000000001","976.0000000000001","0","0","0"
"1","50","0","1","5","358","358","0","0","0"
"7","50","0.05","1","9","749.3999999999999","749.3999999999999","0","0","0"
"6","50","0.05","1","14","1352.7000000000005","1352.7000000000005","0","0","0"
"3","50","0","1","7","460","460","0","0","0"
"2","50","0","1","11","692","692","0","0","0"
"8","50","0.05","1","21","1328.2499999999998","1328.2499999999998","0","0","0"
"5","50","0","1","13","1063","1063","0","0","0"
"1","50","0","1","6","486","486","0","0","0"
"6","50","0.05","1","15","1402.6500000000003","1402.6500000000003","0","0","0"
"2","50","0","1","12","742","742","0","0","0"
"8","50","0.05","1","22","1377.2","1377.2","0","0","0"
"4","50","0","1","8","505","505","0","0","0"
"7","50","0.05","1","10","798.2499999999998","798.2499999999998","0","0","0"
"5","50","0","1","14","1111","1111","0","0","0"
"1","50","0","1","7","534","534","0","0","0"
"2","50","0","1","13","789","789","0","0","0"
"5","50","0","1","15","1238","1238","0","0","0"
"8","50","0.05","1","23","1425.0500000000004","1425.0500000000004","0","0","0"
"3","50","0","1","8","508","508","0","0","0"
"4","50","0","1","9","554","554","0","0","0"
"7","50","0.05","1","11","847.1499999999999","847.1499999999999","0","0","0"
"1","50","0","1","8","584","584","0","0","0"
"2","50","0","1","14","916","916","0","0","0"
"5","50","0","1","16","1367","1367","0","0","0"
"8","50","0.05","1","24","1512.8500000000001","1512.8500000000001","0","0","0"
"3","50","0","1","9","594","594","0","0","0"
"7","50","0.05","1","12","892.9000000000001","892.9000000000001","0","0","0"
"1","50","0","1","9","712.0000000000001","712.0000000000001","0","0","0"
"8","50","0.05","1","25","1560.6499999999999","1560.6499999999999","0","0","0"
"3","50","0","1","10","643","643","0","0","0"
"2","50","0","1","15","965","965","0","0","0"
"5","50","0","1","17","1417","1417","0","0","0"
"4","50","0","1","10","640","640","0","0","0"
"1","50","0","1","10","761","761","0","0","0"
"7","50","0.05","1","13","941.6499999999999","941.6499999999999","0","0","0"
"5","50","0","1","18","1466","1466","0","0","0"
"2","50","0","1","16","1132","1132","0","0","0"
"3","50","0","1","11","691","691","0","0","0"
"6","50","0.05","1","16","1450.5500000000002","1450.5500000000002","0","0","0"
"4","50","0","1","11","725","725","0","0","0"
"7","50","0.05","1","14","1027.3999999999996","1027.3999999999996","0","0","0"
"1","50","0","1","11","848","848","0","0","0"
"8","50","0.05","1","26","1607.3999999999996","1607.3999999999996","0","0","0"
"5","50","0","1","19","1515","1515","0","0","0"
"2","50","0","1","17","1261","1261","0","0","0"
"3","50","0","1","12","740","740","0","0","0"
"4","50","0","1","12","813.0000000000001","813.0000000000001","0","0","0"
"7","50","0.05","1","15","1115.1","1115.1","0","0","0"
"1","50","0","1","12","896.0000000000001","896.0000000000001","0","0","0"
"3","50","0","1","13","790","790","0","0","0"
"6","50","0.05","1","17","1616.2500000000002","1616.2500000000002","0","0","0"
"7","50","0.05","1","16","1162.8999999999999","1162.8999999999999","0","0","0"
"4","50","0","1","13","862.0000000000001","862.0000000000001","0","0","0"
"2","50","0","1","18","1428","1428","0","0","0"
"5","50","0","1","20","1601.9999999999998","1601.9999999999998","0","0","0"
"3","50","0","1","14","878","878","0","0","0"
"7","50","0.05","1","17","1212.8000000000002","1212.8000000000002","0","0","0"
"4","50","0","1","14","908.0000000000001","908.0000000000001","0","0","0"
"5","50","0","1","21","1649.9999999999998","1649.9999999999998","0","0","0"
"2","50","0","1","19","1595","1595","0","0","0"
"1","50","0","1","13","1064","1064","0","0","0"
"3","50","0","1","15","1006","1006","0","0","0"
"8","50","0.05","1","27","1655.15","1655.15","0","0","0"
"7","50","0.05","1","18","1258.6000000000001","1258.6000000000001","0","0","0"
"4","50","0","1","15","953.0000000000001","953.0000000000001","0","0","0"
"5","50","0","1","22","1739","1739","0","0","0"
"2","50","0","1","20","1645","1645","0","0","0"
"3","50","0","1","16","1056","1056","0","0","0"
"8","50","0.05","1","28","1781.9","1781.9","0","0","0"
"1","50","0","1","14","1112","1112","0","0","0"
"6","50","0.05","1","18","1743.9500000000003","1743.9500000000003","0","0","0"
"7","50","0.05","1","19","1305.2499999999998","1305.2499999999998","0","0","0"
"4","50","0","1","16","1002","1002","0","0","0"
"5","50","0","1","23","1788.9999999999998","1788.9999999999998","0","0","0"
"3","50","0","1","17","1103","1103","0","0","0"
"8","50","0.05","1","29","1827.55","1827.55","0","0","0"
"1","50","0","1","15","1160","1160","0","0","0"
"7","50","0.05","1","20","1391.95","1391.95","0","0","0"
"4","50","0","1","17","1091","1091","0","0","0"
"5","50","0","1","24","1876.9999999999998","1876.9999999999998","0","0","0"
"3","50","0","1","18","1191","1191","0","0","0"
"2","50","0","1","21","1695","1695","0","0","0"
"8","50","0.05","1","30","1876.3","1876.3","0","0","0"
"7","50","0.05","1","21","1441.8000000000004","1441.8000000000004","0","0","0"
"4","50","0","1","18","1180","1180","0","0","0"
"5","50","0","1","25","1925.9999999999998","1925.9999999999998","0","0","0"
"3","50","0","1","19","1239","1239","0","0","0"
"6","50","0.05","1","19","1872.8000000000006","1872.8000000000006","0","0","0"
"8","50","0.05","1","31","1925.2000000000003","1925.2000000000003","0","0","0"
"7","50","0.05","1","22","1491.8000000000002","1491.8000000000002","0","0","0"
"4","50","0","1","19","1228","1228","0","0","0"
"1","50","0","1","16","1288","1288","0","0","0"
"5","50","0","1","26","1971.9999999999998","1971.9999999999998","0","0","0"
"3","50","0","1","20","1328","1328","0","0","0"
"6","50","0.05","1","20","1919.6000000000004","1919.6000000000004","0","0","0"
"8","50","0.05","1","32","1974.0999999999997","1974.0999999999997","0","0","0"
"2","50","0","1","22","1784","1784","0","0","0"
"7","50","0.05","1","23","1540.7500000000005","1540.7500000000005","0","0","0"
"4","50","0","1","20","1317","1317","0","0","0"
"1","50","0","1","17","1336","1336","0","0","0"
"5","50","0","1","27","2139","2139","0","0","0"
