"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"05/02/2018 08:09:57:117 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","26","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"7","50","0","0","0","0","0","0"
"6","50","0","0","0","0","0","0"
"7","50","0","0","1","19","0","19"
"4","50","0","0","0","0","0","0"
"6","50","0","0","1","14","0","14"
"2","50","0","0","0","0","0","0"
"8","50","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0"
"8","50","0","0","1","19","0","19"
"7","50","0","0","2","122.00000000000004","0","122.00000000000004"
"6","50","0","0","2","113","0","113"
"7","50","0","0","3","139.00000000000003","0","139.00000000000003"
"8","50","0","0","2","31","0","31"
"6","50","0","0","3","133","0","133"
"7","50","0","0","4","163.00000000000006","0","163.00000000000006"
"8","50","0","0","3","53","0","53"
"6","50","0","0","4","153","0","153"
"7","50","0","0","5","301","0","301"
"7","50","0","0","6","316.99999999999994","0","316.99999999999994"
"6","50","0","0","5","297.00000000000006","0","297.00000000000006"
"6","50","0","0","6","318","0","318"
"7","50","0","0","7","370.99999999999994","0","370.99999999999994"
"6","50","0","0","7","371.0000000000001","0","371.0000000000001"
"7","50","0","0","8","422.9999999999999","0","422.9999999999999"
"8","50","0","0","4","110","0","110"
"4","50","0","0","1","17","0","17"
"6","50","0","0","8","424.0000000000002","0","424.0000000000002"
"7","50","0","0","9","480.99999999999994","0","480.99999999999994"
"6","50","0","0","9","434.0000000000002","0","434.0000000000002"
"4","50","0","0","2","78","0","78"
"7","50","0","0","10","494.00000000000006","0","494.00000000000006"
"8","50","0","0","5","133","0","133"
"6","50","0","0","10","450.0000000000001","0","450.0000000000001"
"4","50","0","0","3","133","0","133"
"8","50","0","0","6","153","0","153"
"7","50","0","0","11","631.9999999999998","0","631.9999999999998"
"6","50","0","0","11","548","0","548"
"8","50","0","0","7","251.00000000000006","0","251.00000000000006"
"3","50","0","0","0","0","0","0"
"7","50","0","0","12","645","0","645"
"2","50","0","0","1","53.000000000000014","0","53.000000000000014"
"8","50","0","0","8","265.00000000000006","0","265.00000000000006"
"6","50","0","0","12","604.9999999999999","0","604.9999999999999"
"4","50","0","0","4","231.0000000000001","0","231.0000000000001"
"8","50","0","0","9","367.99999999999994","0","367.99999999999994"
"6","50","0","0","13","664","0","664"
"4","50","0","0","5","326.0000000000001","0","326.0000000000001"
"6","50","0","0","14","680.9999999999999","0","680.9999999999999"
"8","50","0","0","10","384.00000000000006","0","384.00000000000006"
"4","50","0","0","6","347.00000000000006","0","347.00000000000006"
"2","50","0","0","2","111.00000000000004","0","111.00000000000004"
"3","50","0","0","1","136.00000000000003","0","136.00000000000003"
"1","50","0","0","0","0","0","0"
"4","50","0","0","7","364","0","364"
"3","50","0","0","2","190","0","190"
"7","50","0","0","13","661.9999999999998","0","661.9999999999998"
