"BehaviorSpace results (NetLogo 6.0.2)"
"basic.nlogo"
"vary p, tau=0"
"04/27/2018 21:22:46:141 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","56","0","30"
"[run number]","N","tau","p","[step]","total-wealth","sum [wealth] of turtles with [ strategy = 0 ]","sum [wealth] of turtles with [ strategy = 1 ]"
"4","50","0","0","0","0","0","0"
"6","50","0","0","0","0","0","0"
"7","50","0","0","0","0","0","0"
"2","50","0","0","0","0","0","0"
"7","50","0","0","1","14","0","14"
"4","50","0","0","1","143.00000000000003","0","143.00000000000003"
"8","50","0","0","0","0","0","0"
"5","50","0","0","0","0","0","0"
"7","50","0","0","2","28","0","28"
"4","50","0","0","2","167.00000000000006","0","167.00000000000006"
"7","50","0","0","3","122.00000000000006","0","122.00000000000006"
"6","50","0","0","1","16","0","16"
"4","50","0","0","3","227.00000000000006","0","227.00000000000006"
"7","50","0","0","4","211.99999999999991","0","211.99999999999991"
"4","50","0","0","4","364.0000000000001","0","364.0000000000001"
"1","50","0","0","0","0","0","0"
"3","50","0","0","0","0","0","0"
"2","50","0","0","1","137","0","137"
"8","50","0","0","1","59.000000000000014","0","59.000000000000014"
"6","50","0","0","2","73.99999999999999","0","73.99999999999999"
"5","50","0","0","1","16","0","16"
"7","50","0","0","5","264","0","264"
"4","50","0","0","5","386.00000000000017","0","386.00000000000017"
"4","50","0","0","6","402.00000000000017","0","402.00000000000017"
"7","50","0","0","6","278.99999999999994","0","278.99999999999994"
"6","50","0","0","3","129.99999999999997","0","129.99999999999997"
"8","50","0","0","2","76","0","76"
"2","50","0","0","2","195.00000000000009","0","195.00000000000009"
"5","50","0","0","2","29","0","29"
"4","50","0","0","7","544","0","544"
"7","50","0","0","7","296.99999999999994","0","296.99999999999994"
"6","50","0","0","4","142.99999999999991","0","142.99999999999991"
"8","50","0","0","3","132.00000000000003","0","132.00000000000003"
"2","50","0","0","3","247","0","247"
"5","50","0","0","3","126.00000000000001","0","126.00000000000001"
"4","50","0","0","8","641.9999999999999","0","641.9999999999999"
"7","50","0","0","8","392.00000000000006","0","392.00000000000006"
"6","50","0","0","5","238.00000000000003","0","238.00000000000003"
"8","50","0","0","4","182.00000000000003","0","182.00000000000003"
"2","50","0","0","4","267.0000000000001","0","267.0000000000001"
"4","50","0","0","9","658.9999999999999","0","658.9999999999999"
"7","50","0","0","9","525","0","525"
"6","50","0","0","6","290","0","290"
"8","50","0","0","5","279.99999999999994","0","279.99999999999994"
"4","50","0","0","10","675.9999999999999","0","675.9999999999999"
"2","50","0","0","5","327.0000000000001","0","327.0000000000001"
"5","50","0","0","4","181.99999999999997","0","181.99999999999997"
"6","50","0","0","7","301","0","301"
"7","50","0","0","10","664.9999999999998","0","664.9999999999998"
"4","50","0","0","11","772.0000000000002","0","772.0000000000002"
"5","50","0","0","5","243.99999999999994","0","243.99999999999994"
"2","50","0","0","6","341","0","341"
"6","50","0","0","8","357","0","357"
"7","50","0","0","11","768","0","768"
"5","50","0","0","6","257.99999999999994","0","257.99999999999994"
"4","50","0","0","12","786.9999999999999","0","786.9999999999999"
"8","50","0","0","6","335","0","335"
"2","50","0","0","7","354","0","354"
"6","50","0","0","9","491.00000000000017","0","491.00000000000017"
"7","50","0","0","12","782","0","782"
"4","50","0","0","13","808","0","808"
"5","50","0","0","7","315.00000000000006","0","315.00000000000006"
"8","50","0","0","7","356.0000000000001","0","356.0000000000001"
"6","50","0","0","10","544","0","544"
"2","50","0","0","8","450.00000000000006","0","450.00000000000006"
"7","50","0","0","13","797.0000000000003","0","797.0000000000003"
"4","50","0","0","14","862.9999999999998","0","862.9999999999998"
"5","50","0","0","8","333","0","333"
"8","50","0","0","8","487.99999999999994","0","487.99999999999994"
"6","50","0","0","11","558","0","558"
"4","50","0","0","15","876","0","876"
"2","50","0","0","9","467","0","467"
"7","50","0","0","14","896","0","896"
"4","50","0","0","16","937.0000000000001","0","937.0000000000001"
"5","50","0","0","9","393.0000000000001","0","393.0000000000001"
"6","50","0","0","12","578.9999999999998","0","578.9999999999998"
"8","50","0","0","9","550","0","550"
"7","50","0","0","15","950.0000000000001","0","950.0000000000001"
"2","50","0","0","10","522.0000000000001","0","522.0000000000001"
"4","50","0","0","17","994.9999999999999","0","994.9999999999999"
